date,event,type,severity,notes
2008-01,Queensland floods,flood,major,Widespread mine flooding; force majeure declared across Bowen Basin
2008-02,Queensland floods (cont.),flood,major,Continued rail and port disruption
2010-12,Queensland floods,flood,major,Onset of the 2010-11 floods; force majeure across Queensland
2011-01,Queensland floods,flood,major,~85 pct of Queensland mines curtailed; largest event in sample
2011-02,Cyclone Yasi,cyclone,major,Landfall 3 Feb; compounds ongoing flood disruption
2013-01,Cyclone Oswald,cyclone,minor,Late Jan; Bowen Basin flooding
2017-03,Cyclone Debbie,cyclone,major,Landfall 28 Mar; Goonyella rail damage; Hay Point/DBCT/Abbot Point closed
2017-04,Cyclone Debbie (cont.),cyclone,major,Rail restoration through April; 15-20 Mt met coal affected
2019-02,North Queensland floods,flood,minor,Townsville floods; rail corridor damage
2020-05,Grosvenor mine incident,accident,minor,Underground explosion; extended closure
2021-01,Cyclone Kimi,cyclone,minor,Precautionary port suspensions only
2022-02,East coast floods,flood,minor,NSW/QLD flooding; mine and rail disruption
2022-03,East coast floods (cont.),flood,minor,Continued disruption
2024-01,Cyclone Kirrily,cyclone,minor,Port and rail suspensions
2024-06,Grosvenor mine fire,accident,minor,Extended closure of Anglo American mine
