date,x_kor,rea,cpi,q_aus,x_jpn,p_usd,x_ind,p_real,z,z_major,z_w
1947-01-01,,,21.48,,,,,,0.0,0.0,0.0
1947-02-01,,,21.62,,,,,,0.0,0.0,0.0
1947-03-01,,,22.0,,,,,,0.0,0.0,0.0
1947-04-01,,,22.0,,,,,,0.0,0.0,0.0
1947-05-01,,,21.95,,,,,,0.0,0.0,0.0
1947-06-01,,,22.08,,,,,,0.0,0.0,0.0
1947-07-01,,,22.23,,,,,,0.0,0.0,0.0
1947-08-01,,,22.4,,,,,,0.0,0.0,0.0
1947-09-01,,,22.84,,,,,,0.0,0.0,0.0
1947-10-01,,,22.91,,,,,,0.0,0.0,0.0
1947-11-01,,,23.06,,,,,,0.0,0.0,0.0
1947-12-01,,,23.41,,,,,,0.0,0.0,0.0
1948-01-01,,,23.68,,,,,,0.0,0.0,0.0
1948-02-01,,,23.67,,,,,,0.0,0.0,0.0
1948-03-01,,,23.5,,,,,,0.0,0.0,0.0
1948-04-01,,,23.82,,,,,,0.0,0.0,0.0
1948-05-01,,,24.01,,,,,,0.0,0.0,0.0
1948-06-01,,,24.15,,,,,,0.0,0.0,0.0
1948-07-01,,,24.4,,,,,,0.0,0.0,0.0
1948-08-01,,,24.43,,,,,,0.0,0.0,0.0
1948-09-01,,,24.36,,,,,,0.0,0.0,0.0
1948-10-01,,,24.31,,,,,,0.0,0.0,0.0
1948-11-01,,,24.16,,,,,,0.0,0.0,0.0
1948-12-01,,,24.05,,,,,,0.0,0.0,0.0
1949-01-01,,,24.01,,,,,,0.0,0.0,0.0
1949-02-01,,,23.91,,,,,,0.0,0.0,0.0
1949-03-01,,,23.91,,,,,,0.0,0.0,0.0
1949-04-01,,,23.92,,,,,,0.0,0.0,0.0
1949-05-01,,,23.91,,,,,,0.0,0.0,0.0
1949-06-01,,,23.92,,,,,,0.0,0.0,0.0
1949-07-01,,,23.7,,,,,,0.0,0.0,0.0
1949-08-01,,,23.7,,,,,,0.0,0.0,0.0
1949-09-01,,,23.75,,,,,,0.0,0.0,0.0
1949-10-01,,,23.67,,,,,,0.0,0.0,0.0
1949-11-01,,,23.7,,,,,,0.0,0.0,0.0
1949-12-01,,,23.61,,,,,,0.0,0.0,0.0
1950-01-01,,,23.51,,,,,,0.0,0.0,0.0
1950-02-01,,,23.61,,,,,,0.0,0.0,0.0
1950-03-01,,,23.64,,,,,,0.0,0.0,0.0
1950-04-01,,,23.65,,,,,,0.0,0.0,0.0
1950-05-01,,,23.77,,,,,,0.0,0.0,0.0
1950-06-01,,,23.88,,,,,,0.0,0.0,0.0
1950-07-01,,,24.07,,,,,,0.0,0.0,0.0
1950-08-01,,,24.2,,,,,,0.0,0.0,0.0
1950-09-01,,,24.34,,,,,,0.0,0.0,0.0
1950-10-01,,,24.5,,,,,,0.0,0.0,0.0
1950-11-01,,,24.6,,,,,,0.0,0.0,0.0
1950-12-01,,,24.98,,,,,,0.0,0.0,0.0
1951-01-01,,,25.38,,,,,,0.0,0.0,0.0
1951-02-01,,,25.83,,,,,,0.0,0.0,0.0
1951-03-01,,,25.88,,,,,,0.0,0.0,0.0
1951-04-01,,,25.92,,,,,,0.0,0.0,0.0
1951-05-01,,,25.99,,,,,,0.0,0.0,0.0
1951-06-01,,,25.93,,,,,,0.0,0.0,0.0
1951-07-01,,,25.91,,,,,,0.0,0.0,0.0
1951-08-01,,,25.86,,,,,,0.0,0.0,0.0
1951-09-01,,,26.03,,,,,,0.0,0.0,0.0
1951-10-01,,,26.16,,,,,,0.0,0.0,0.0
1951-11-01,,,26.32,,,,,,0.0,0.0,0.0
1951-12-01,,,26.47,,,,,,0.0,0.0,0.0
1952-01-01,,,26.45,,,,,,0.0,0.0,0.0
1952-02-01,,,26.41,,,,,,0.0,0.0,0.0
1952-03-01,,,26.39,,,,,,0.0,0.0,0.0
1952-04-01,,,26.46,,,,,,0.0,0.0,0.0
1952-05-01,,,26.47,,,,,,0.0,0.0,0.0
1952-06-01,,,26.53,,,,,,0.0,0.0,0.0
1952-07-01,,,26.68,,,,,,0.0,0.0,0.0
1952-08-01,,,26.69,,,,,,0.0,0.0,0.0
1952-09-01,,,26.63,,,,,,0.0,0.0,0.0
1952-10-01,,,26.69,,,,,,0.0,0.0,0.0
1952-11-01,,,26.69,,,,,,0.0,0.0,0.0
1952-12-01,,,26.71,,,,,,0.0,0.0,0.0
1953-01-01,,,26.64,,,,,,0.0,0.0,0.0
1953-02-01,,,26.59,,,,,,0.0,0.0,0.0
1953-03-01,,,26.63,,,,,,0.0,0.0,0.0
1953-04-01,,,26.69,,,,,,0.0,0.0,0.0
1953-05-01,,,26.7,,,,,,0.0,0.0,0.0
