date,tonnes
2012-01,2.690356414e7
2012-02,2.230271959e7
2012-03,2.264298985e7
2012-04,2.561372733e7
2012-05,2.476646491e7
2012-06,2.624414076e7
2012-07,2.665511497e7
2012-08,2.467984296e7
2012-09,2.77287947e7
2012-10,2.827703225e7
2012-11,2.777154203e7
2012-12,3.204994436e7
2013-01,2.815716076e7
2013-02,2.501596879e7
2013-03,2.553058013e7
2013-04,2.757214033e7
2013-05,2.879670959e7
2013-06,3.188618091e7
2013-07,3.082036741e7
2013-08,3.017808018e7
2013-09,3.020607584e7
2013-10,3.305196838e7
2013-11,2.972131167e7
2013-12,3.470245177e7
2014-01,3.015468528e7
2014-02,2.895320168e7
2014-03,3.030194504e7
2014-04,3.085579227e7
2014-05,3.11848964e7
2014-06,3.235815835e7
2014-07,3.217112732e7
2014-08,3.391155401e7
2014-09,3.287732871e7
2014-10,3.259710431e7
2014-11,3.306527858e7
2014-12,3.580736371e7
2015-01,3.229431051e7
2015-02,2.858391004e7
2015-03,3.367930054e7
2015-04,2.81463815e7
2015-05,3.156799609e7
2015-06,3.504156799e7
2015-07,3.217041663e7
2015-08,3.536845522e7
2015-09,3.18638628e7
2015-10,3.242026861e7
2015-11,3.202162416e7
2015-12,3.295662831e7
2016-01,3.175588123e7
2016-02,2.8239175e7
2016-03,3.218216358e7
2016-04,3.135240511e7
2016-05,3.314226625e7
2016-06,3.341909333e7
2016-07,3.231525455e7
2016-08,3.168076596e7
2016-09,3.419169424e7
2016-10,3.000947774e7
2016-11,3.219110993e7
2016-12,3.797928429e7
2017-01,3.07239524e7
2017-02,2.911377082e7
2017-03,3.16408976e7
2017-04,2.29938222e7
2017-05,3.166504193e7
2017-06,3.247957014e7
2017-07,3.387504718e7
2017-08,3.301505208e7
2017-09,3.290315495e7
2017-10,3.054904242e7
2017-11,2.92912158e7
2017-12,3.395408628e7
2018-01,3.2148543e7
2018-02,2.854961968e7
2018-03,3.0470803e7
2018-04,3.00097833e7
2018-05,3.171325672e7
2018-06,3.46528263e7
2018-07,3.42255864e7
2018-08,3.269392103e7
2018-09,3.184741117e7
2018-10,3.423731922e7
2018-11,3.050750168e7
2018-12,3.476296822e7
2019-01,3.37278408e7
2019-02,2.66743826e7
2019-04,3.104487809e7
2019-05,3.287003351e7
2019-06,3.72245824e7
2019-08,3.25043672e7
2019-09,3.2077716691619e7
2019-10,3.332047125e7
2019-11,3.08673697e7
2019-12,3.723369851e7
2020-01,3.300097503e7
2020-02,2.957990951e7
2020-03,3.222163726e7
2020-04,3.009539e7
2020-05,2.956471145e7
2020-06,3.32036552e7
2020-07,2.8272322e7
2020-08,3.216101455e7
2020-09,2.9782758e7
2020-10,3.12081259e7
2020-11,2.813275016e7
2020-12,3.40922003e7
2021-01,3.108268e7
2021-02,2.88833484e7
2021-03,2.72658675e7
2021-04,2.94091729e7
2021-05,3.12319655e7
2021-06,3.18064874e7
2021-07,3.204991125e7
2021-08,3.273109576e7
2021-09,3.15124533e7
2021-10,3.062651983e7
2021-11,2.9258645e7
2021-12,2.99336811e7
2022-01,3.1190144e7
2022-02,2.5639372e7
2022-03,2.739116e7
2022-04,2.6174088e7
2022-05,3.00666208e7
2022-06,3.2173408e7
2022-07,2.4231506e7
2022-08,2.95123051e7
2022-09,2.708077416e7
2022-10,2.76208205e7
2022-11,2.69430009e7
2022-12,3.1161623e7
2023-01,2.7013918e7
2023-02,2.3675623e7
2023-03,2.92987928e7
2023-04,2.79091761e7
2023-05,3.02523068e7
2023-06,3.3717773e7
2023-07,3.0957828e7
2023-08,2.7948793e7
2023-09,2.81831286e7
2023-10,3.0086433650363997e7
2023-11,3.11050608e7
2023-12,3.319129911e7
2024-01,2.83094422e7
2024-02,2.81499486e7
2024-03,2.897376958e7
2024-04,2.784118412e7
2024-05,2.96762033e7
2024-06,3.119427387e7
2024-07,2.8519280760139998e7
2024-08,3.2953850892557997e7
2024-09,3.0411544e7
2024-10,3.05954745e7
2024-11,3.16104321e7
2024-12,3.379667507e7
2025-01,2.58651996e7
2025-02,2.2705032e7
2025-03,3.05668371e7
2025-04,2.5758893e7
2025-05,2.5343524e7
2025-06,3.37268195e7
2025-07,3.25373146e7
2025-08,2.983705812e7
2025-09,3.2044312e7
2025-10,3.153583419e7
2025-11,3.051654701e7
2025-12,3.546913184e7
