importer,stub,year,world_mt,aus_mt,aus_share,clean_margin
Japan,jpn,2012,185.212818,114.766320,0.619646,true
Japan,jpn,2013,156.591691,121.781060,0.777698,true
Japan,jpn,2014,141.027073,119.139640,0.844800,true
Japan,jpn,2015,190.728012,124.004766,0.650165,true
Japan,jpn,2016,156.549470,121.493186,0.776069,true
Japan,jpn,2017,192.884680,119.128377,0.617615,true
Japan,jpn,2018,189.354221,116.068265,0.612969,true
Japan,jpn,2019,186.208666,109.264458,0.586785,true
Japan,jpn,2020,173.754595,103.488688,0.595603,true
Japan,jpn,2021,182.629448,119.456371,0.654092,true
Japan,jpn,2022,183.030223,121.542339,0.664056,true
Japan,jpn,2023,166.984728,107.119343,0.641492,true
Japan,jpn,2024,165.764728,108.239917,0.652973,true
Japan,jpn,2025,161.688248,107.166383,0.662796,true
Korea,kor,2014,104.550003,47.920698,0.458352,true
Korea,kor,2015,135.144455,61.152171,0.452495,true
Korea,kor,2016,134.520169,52.313135,0.388887,true
Korea,kor,2017,133.651467,48.342096,0.361703,true
Korea,kor,2023,119.462509,36.659994,0.306874,true
Korea,kor,2025,99.054212,34.712092,0.350435,true
India,ind,2012,131.163604,30.096822,0.229460,false
India,ind,2013,160.749109,32.225606,0.200471,false
India,ind,2014,178.675717,40.202386,0.225002,false
India,ind,2017,197.741438,44.474701,0.224913,false
India,ind,2018,227.360071,50.012601,0.219971,false
India,ind,2019,230.102924,45.655195,0.198412,false
India,ind,2020,218.095780,46.510755,0.213258,false
India,ind,2021,232.092638,82.415239,0.355096,false
India,ind,2022,234.061890,48.727687,0.208183,false
Korea,kor,2020,123.493446,47.396507,0.383798,true
Korea,kor,2022,125.151512,45.984083,0.367427,true
Taiwan,twn,2015,66.853648,31.092316,0.465080,true
Taiwan,twn,2016,65.494382,34.072698,0.520238,true
Taiwan,twn,2017,69.035898,32.904953,0.476635,true
Taiwan,twn,2018,69.172478,34.324320,0.496214,true
Taiwan,twn,2019,67.087748,33.706333,0.502422,true
Taiwan,twn,2020,63.031544,30.005240,0.476035,true
Taiwan,twn,2021,68.539143,37.050729,0.540578,true
Taiwan,twn,2023,58.556214,29.047375,0.496060,true
China,chn,2015,155.802061,70.851081,0.454751,false
China,chn,2016,133.487095,68.044193,0.509744,false
China,chn,2017,188.125595,79.655178,0.423415,false
China,chn,2019,197.054015,76.888302,0.390189,false
China,chn,2020,204.374734,77.507058,0.379240,false
China,chn,2022,162.739397,2.855602,0.017547,false
China,chn,2023,202.760861,26.373525,0.130072,false
India,ind,2015,206.380532,47.813896,0.231678,false
India,ind,2016,193.108294,46.283602,0.239677,false
India,ind,2023,252.013841,52.342776,0.207698,false
Turkey,tur,2015,34.019126,2.792210,0.082078,true
