date,partner,tonnes
2012-01,Australia,438932.83
2012-01,Canada,89011.6
2012-01,Colombia,964690.91
2012-01,Russia,1100247.71
2012-01,South Africa,247076.82
2012-01,USA,781543.52
2012-01,World,3914836.094
2012-02,Australia,345508.7
2012-02,Canada,138427.0
2012-02,Colombia,810550.65
2012-02,Russia,905462.02
2012-02,South Africa,136765.68
2012-02,USA,840091.723
2012-02,World,3545024.017
2012-04,Australia,352084.02
2012-04,Canada,126311.96
2012-04,Colombia,656563.46
2012-04,Russia,1012863.21
2012-04,South Africa,132237.462
2012-04,USA,619746.665
2012-04,World,3288757.637
2012-05,Australia,477397.89
2012-05,Canada,150408.0
2012-05,Colombia,722857.74
2012-05,Russia,796834.3
2012-05,South Africa,157421.4
2012-05,USA,1095965.73
2012-05,World,3760741.42
2012-06,Australia,272999.4
2012-06,Canada,120686.65
2012-06,Colombia,683276.036
2012-06,Russia,951725.84
2012-06,South Africa,76382.71
2012-06,USA,594413.0
2012-06,World,3107754.924
2012-07,Australia,341809.9
2012-07,Canada,183041.75
2012-07,Colombia,572951.6
2012-07,Russia,1235145.23
2012-07,South Africa,49471.59
2012-07,USA,781488.036
2012-07,World,3574369.771
2012-09,Australia,247648.22
2012-09,Canada,157277.3
2012-09,Colombia,782981.39
2012-09,Russia,710975.24
2012-09,South Africa,79341.46
2012-09,USA,732712.9
2012-09,World,3069799.755
2012-11,Australia,490716.1
2012-11,Canada,143259.7
2012-11,Colombia,552272.37
2012-11,Russia,716032.6
2012-11,South Africa,226031.191
2012-11,USA,1118804.56
2012-11,World,3637897.951
2012-12,Australia,321246.7
2012-12,Canada,81544.0
2012-12,Colombia,1189846.97
2012-12,Russia,979814.37
2012-12,South Africa,388243.59
2012-12,USA,1144684.746
2012-12,World,5057106.411
2013-01,Australia,440193.8
2013-01,Canada,76318.0
2013-01,Colombia,742687.86
2013-01,Russia,1110908.05
2013-01,South Africa,117430.83
2013-01,USA,930878.717
2013-01,World,3904285.977
2013-02,Australia,422064.78
2013-02,Canada,63324.75
2013-02,Colombia,618789.57
2013-02,Russia,1190193.87
2013-02,South Africa,244863.52
2013-02,USA,851120.798864
2013-02,World,3985739.5528639997
2013-04,Australia,324785.6
2013-04,Canada,53554.0
2013-04,Colombia,237045.99
2013-04,Russia,1060706.45
2013-04,South Africa,349137.42
2013-04,USA,894482.49
2013-04,World,3501872.735
2013-05,Australia,608882.7
2013-05,Canada,120956.0
2013-05,Colombia,741925.72
2013-05,Russia,962218.18
2013-05,South Africa,329308.32
2013-05,USA,1438195.343
2013-05,World,4967523.516
2013-06,Australia,275679.33
2013-06,Canada,49667.0
2013-06,Colombia,809044.38
2013-06,Russia,860042.83
2013-06,South Africa,133629.82
2013-06,USA,996467.02
2013-06,World,3687227.805
2013-07,Australia,325129.86
2013-07,Canada,127457.0
2013-07,Colombia,1125060.516
2013-07,Russia,1029187.08
2013-07,South Africa,124687.15
2013-07,USA,853586.8
2013-07,World,4027756.625
2013-08,Australia,417686.5
2013-08,Canada,114623.0
2013-08,Colombia,1074769.31
2013-08,Russia,754482.4
