date,partner,tonnes
2012-02,Australia,136180.0
2012-02,Canada,54672.0
2012-02,Colombia,955040.143
2012-02,Russia,1013957.134
2012-02,South Africa,98000.0
2012-02,USA,646096.295
2012-02,World,2940003.108
2012-03,Australia,311099.0
2012-03,Colombia,1100581.274
2012-03,Russia,1461591.277
2012-03,USA,707639.046
2012-03,World,3681221.098
2012-04,Australia,230379.28
2012-04,Colombia,880202.97
2012-04,Russia,1288801.536
2012-04,South Africa,87322.0
2012-04,USA,817473.876
2012-04,World,3316684.728
2012-06,Australia,301929.0
2012-06,Canada,154921.71
2012-06,Colombia,930247.46
2012-06,Russia,1390935.762
2012-06,USA,692810.796
2012-06,World,3482952.768
2012-08,Australia,333378.58
2012-08,Canada,41973.0
2012-08,Colombia,738417.765
2012-08,Russia,1384651.607
2012-08,USA,1372723.964
2012-08,World,3919686.859
2012-10,Australia,157261.42
2012-10,Colombia,669050.45
2012-10,Russia,1575394.228
2012-10,USA,1170094.607
2012-10,World,3662907.557
2012-12,Australia,229975.0
2012-12,Colombia,1327688.623
2012-12,Russia,1224566.267
2012-12,South Africa,103556.0
2012-12,USA,791563.029
2012-12,World,3725522.734
2013-02,Colombia,1048679.747
2013-02,Russia,1271304.795
2013-02,South Africa,221238.0
2013-02,USA,779158.028
2013-02,World,3438854.61
2013-04,Australia,73972.0
2013-04,Colombia,619141.32
2013-04,Russia,1553325.955
2013-04,USA,1524571.815
2013-04,World,3809796.074
2013-06,Australia,278066.0
2013-06,Canada,103673.87
2013-06,Colombia,711027.19
2013-06,Russia,1409879.74
2013-06,USA,1001510.277
2013-06,World,3739632.782
2013-08,Australia,70107.0
2013-08,Canada,47734.38
2013-08,Colombia,609956.281
2013-08,Russia,1648821.5
2013-08,South Africa,88000.0
2013-08,USA,1048786.949
2013-08,World,3565367.066
2013-10,Australia,37666.0
2013-10,Canada,110242.008
2013-10,Colombia,1121932.524
2013-10,Russia,1591054.791
2013-10,USA,737368.457
2013-10,World,3810059.612
2013-11,Australia,266546.0
2013-11,Canada,175885.938
2013-11,Colombia,735520.376
2013-11,Russia,1131172.835
2013-11,South Africa,1431.3
2013-11,USA,1005589.769
2013-11,World,3687875.066
2014-01,Australia,59568.0
2014-01,Canada,56933.0
2014-01,Colombia,1055563.837
2014-01,Russia,1510572.907
2014-01,South Africa,94850.337
2014-01,USA,1136585.864
2014-01,World,3998985.799
2014-02,Canada,18.596
2014-02,Colombia,382292.46
2014-02,Indonesia,18.341
2014-02,Russia,1733591.237
2014-02,USA,789953.804
2014-02,World,3007761.033
2014-03,Australia,71449.0
2014-03,Canada,60926.0
2014-03,Colombia,925811.449
2014-03,Russia,2269350.041
2014-03,USA,994123.247
2014-03,World,4405785.585
2014-05,Australia,95596.0
2014-05,Canada,59794.0
2014-05,Colombia,882257.534
2014-05,Russia,1742677.504
2014-05,USA,1354948.098
2014-05,World,4243365.513
2014-07,Australia,161155.0
2014-07,Canada,61722.546
2014-07,Colombia,895938.259
2014-07,Indonesia,21.21
2014-07,Russia,1386996.846
2014-07,USA,845879.954
2014-07,World,3436348.077
2014-08,Colombia,358288.35
2014-08,Russia,853907.84
2014-08,USA,490262.725
2014-08,World,1773964.881
2014-09,Australia,135072.0
2014-09,Canada,58115.0
2014-09,Colombia,454439.213
2014-09,Indonesia,16.56
2014-09,Russia,999515.062
2014-09,South Africa,47603.0
2014-09,USA,1067131.246
2014-09,World,3090433.771
2014-11,Australia,37516.0
2014-11,Canada,59164.0
2014-11,Colombia,787143.204
2014-11,Russia,979450.181
2014-11,USA,873220.419
2014-11,World,2827819.666
2015-01,Canada,61236.0
2015-01,Colombia,699448.079
2015-01,Russia,1595762.318
2015-01,South Africa,164432.0
2015-01,USA,954661.098
2015-01,World,3576822.501
2015-02,Australia,123310.337
2015-02,Canada,62056.0
2015-02,Colombia,552972.452
2015-02,Russia,1700143.659
2015-02,South Africa,45936.0
2015-02,USA,645859.001
2015-02,World,3173388.172
2015-04,Australia,35726.0
2015-04,Canada,77.36
2015-04,Colombia,619086.762
2015-04,Indonesia,16.128
2015-04,Russia,709427.94
2015-04,USA,276269.162
2015-04,World,1727158.933
2015-06,Australia,82500.0
