date,partner,tonnes
2013-04,Russia,38872.3
2013-04,USA,349326.408
2013-04,World,452451.388
2013-06,Russia,106547.3
2013-06,World,110212.68
2013-07,Russia,74139.64
2013-07,USA,381432.133
2013-07,World,456046.433
2013-08,Russia,62150.0
2013-08,USA,316809.332
2013-08,World,445154.192
2013-09,Russia,65682.44
2013-09,USA,349160.108
2013-09,World,546312.548
2015-01,Russia,65548.4
2015-01,South Africa,449690.0
2015-01,USA,30001.3
2015-01,World,549539.7
2015-07,Russia,304615.0
2015-07,South Africa,325197.0
2015-07,World,636571.035
2015-09,Russia,137097.0
2015-09,South Africa,390007.0
2015-09,USA,4.84
2015-09,World,527108.84
2015-10,Russia,161341.0
2015-10,South Africa,325514.0
2015-10,World,550670.0
2015-11,Canada,3.402
2015-11,Russia,230376.0
2015-11,South Africa,262458.0
2015-11,World,536068.752
2015-12,Russia,127793.0
2015-12,South Africa,292524.0
2015-12,World,517592.11
2018-03,Russia,160319.0
2018-03,USA,535953.0
2018-03,World,696272.0
2018-05,Colombia,3878.0
2018-05,Russia,246932.093
2018-05,USA,306308.0
2018-05,World,557118.093
2018-08,Russia,420378.87
2018-08,USA,460188.0
2018-08,World,886495.77
2018-09,Colombia,3544.7
2018-09,Russia,394038.0
2018-09,USA,180063.0
2018-09,World,577697.7
2018-10,Russia,387624.0
2018-10,USA,314222.0
2018-10,World,702370.646
2019-10,Russia,581369.0
2019-10,USA,202455.0
2019-10,World,887399.86
2019-12,Russia,645193.0
2019-12,USA,164101.0
2019-12,World,867702.3
2020-04,Colombia,58639.4
2020-04,Russia,720223.0
2020-04,USA,65679.2
2020-04,World,844541.6
2020-06,Russia,669858.88
2020-06,South Africa,61070.0
2020-06,USA,132000.0
2020-06,World,862964.8862000001
2020-08,Russia,767778.0
2020-08,USA,66000.0
2020-08,World,833781.0
2020-09,Russia,589675.0
2020-09,USA,66000.0
2020-09,World,655676.75
2021-08,Russia,669263.216
2021-08,USA,241686.0
2021-08,World,910950.6806000001
2021-11,Russia,796404.7
2021-11,South Africa,286314.0
2021-11,USA,305852.0
2021-11,World,1388585.7
2022-03,Colombia,174553.0
2022-03,Russia,475888.6
2022-03,South Africa,109614.0
2022-03,USA,219695.0
2022-03,World,1048200.96
2022-09,Russia,394185.0
2022-09,South Africa,69712.1
2022-09,USA,133000.0
2022-09,World,599055.85
2023-01,Russia,738827.0
2023-01,South Africa,142265.0
2023-01,USA,67409.7
2023-01,World,1029481.1
2023-05,Canada,32499.9
2023-05,Colombia,212944.0
2023-05,South Africa,68851.3
2023-05,USA,529740.0
2023-05,World,849855.72
2023-10,Colombia,69481.0
2023-10,South Africa,137359.0
2023-10,USA,397647.0
2023-10,World,713093.0
