date,partner,tonnes
2012-01,Australia,51399.0
2012-01,Colombia,1095441.0
2012-01,Russia,274523.1
2012-01,USA,342900.2
2012-01,World,2012501.365
2012-03,Australia,53873.0
2012-03,Canada,0.028
2012-03,Colombia,823964.1
2012-03,Russia,239380.5
2012-03,USA,449888.6
2012-03,World,1800370.029
2012-05,Colombia,817836.024
2012-05,Russia,246435.9
2012-05,USA,317734.191
2012-07,Australia,68240.1
2012-07,Colombia,575648.0
2012-07,Russia,160437.0
2012-07,USA,453806.507
2012-07,World,1457466.598
2012-09,Australia,95426.0
2012-09,Colombia,612832.0
2012-09,Russia,302822.6
2012-09,USA,492436.436
2012-09,World,1737433.143
2012-11,Australia,13477.39
2012-11,Colombia,1133523.0
2012-11,Russia,503669.7
2012-11,South Africa,0.376
2012-11,USA,527943.6
2012-11,World,2293660.46
2013-01,Australia,113539.0
2013-01,Colombia,877318.0
2013-01,Indonesia,15104.0
2013-01,Russia,486531.7
2013-01,South Africa,166587.836
2013-01,USA,498297.8
2013-01,World,2504493.611
2013-03,Australia,75460.11
2013-03,Canada,131536.001
2013-03,Colombia,821884.7
2013-03,Russia,323475.7
2013-03,South Africa,405749.0
2013-03,USA,412062.7
2013-03,World,2319493.305
2013-05,Australia,150512.75
2013-05,Colombia,868368.0
2013-05,Russia,231356.8
2013-05,South Africa,348192.0
2013-05,USA,579375.409
2013-05,World,2571884.762
2013-07,Australia,230479.0
2013-07,Colombia,727825.0
2013-07,Russia,268202.1
2013-07,South Africa,162387.9
2013-07,USA,244661.4
2013-07,World,1839599.073
2013-09,Australia,0.344
2013-09,Colombia,853784.0
2013-09,Russia,297131.0
2013-09,South Africa,64424.6
2013-09,USA,303624.3
2013-09,World,1747192.022
2013-12,Australia,242271.18
2013-12,Colombia,1118356.0
2013-12,Russia,272296.6
2013-12,South Africa,371831.0
2013-12,USA,227265.8
2013-12,World,2560769.185
2014-01,Australia,135659.0
2014-01,Colombia,594358.0
2014-01,Russia,344040.0
2014-01,South Africa,341523.0
2014-01,USA,494702.3
2014-01,World,2319948.841
2014-02,Australia,0.824
2014-02,Colombia,754706.0
2014-02,Russia,145486.1
2014-02,South Africa,376226.0
2014-02,USA,357872.6
