date,partner,tonnes
2012-01,Indonesia,610922.555
2012-01,World,610922.555
2012-02,Indonesia,581289.299
2012-02,World,581289.299
2012-03,Australia,20500.0
2012-03,Indonesia,348891.774
2012-03,World,369687.139
2012-04,Indonesia,856805.806
2012-04,World,856805.806
2012-05,Indonesia,493858.747
2012-05,World,493898.747
2012-07,Indonesia,652648.33
2012-07,World,652648.33
2012-09,Indonesia,615459.099
2012-09,World,615505.513
2012-11,Indonesia,591943.795
2012-11,USA,5.361
2012-11,World,591949.156
2013-01,Indonesia,633185.062
2013-01,World,633185.062
2013-03,Indonesia,809970.451
2013-03,USA,80.993
2013-03,World,810051.444
2013-05,Indonesia,700792.48
2013-05,World,834964.48
2013-07,Australia,15.97
2013-07,Indonesia,827083.85
2013-07,World,828199.82
2013-09,Indonesia,910889.634
2013-09,World,912651.834
2013-10,Indonesia,808317.143
2013-10,World,808317.318
2014-01,Australia,15.97
2014-01,Indonesia,896169.289
2014-01,World,920385.259
2014-02,Indonesia,553832.37
2014-02,World,553959.81
2014-04,Australia,15.97
2014-04,Indonesia,1221601.396
2014-04,Russia,36000.0
2014-04,World,1257641.066
2014-06,Australia,67188.0
2014-06,Indonesia,390244.134
2014-06,World,457454.534
2014-08,Australia,15.97
2014-08,Indonesia,815792.343
2014-08,Russia,40946.0
2014-08,World,856827.033
2014-09,Indonesia,952198.617
2014-09,World,961198.617
2014-12,Australia,67559.0
2014-12,Indonesia,732725.893
2014-12,World,800284.893
2015-02,Indonesia,668031.37
2015-02,World,679276.025
2015-04,Australia,71500.0
2015-04,Indonesia,615050.043
2015-04,World,705032.018
2015-06,Australia,136332.0
2015-06,Indonesia,718477.592
2015-06,World,854829.329
2015-08,Australia,131775.0
2015-08,Indonesia,336562.398
2015-08,World,468337.398
2015-11,Australia,137904.404
2015-11,Indonesia,1012517.488
2015-11,World,1174137.893
2016-01,Australia,60957.565736000004
2016-01,Indonesia,832581.220191
2016-01,Russia,31341.969355
2016-01,World,964391.127631
2016-03,Australia,67977.63046
2016-03,Indonesia,1268085.059
2016-03,Russia,42210.0
2016-03,World,1378354.1413399999
2016-05,Australia,132830.18
2016-05,Indonesia,1543269.196
2016-05,Russia,56056.0
2016-05,USA,20.61
2016-05,World,1732198.616
2016-06,Australia,206933.444
2016-06,Indonesia,1534367.473
2016-06,Russia,60400.0
2016-06,World,1829204.006
2016-08,Australia,134502.7836
2016-08,Indonesia,1574523.786
2016-08,Russia,20900.0
2016-08,World,1757426.5695999998
2016-09,Australia,134606.0
2016-09,Indonesia,1586765.773
2016-09,Russia,127210.0
2016-09,World,1849070.12934
2016-11,Australia,70457.0
2016-11,Indonesia,1150728.706
2016-11,World,1259159.48446
2017-01,Australia,140213.0
2017-01,Indonesia,1548941.291
2017-01,World,1717128.0104200002
2017-03,Australia,142035.50026
2017-03,Indonesia,1361577.553
2017-03,World,1530671.36406
2017-05,Australia,138585.72
2017-05,Indonesia,1251666.256
2017-05,Russia,89180.0
2017-05,World,1479475.9976
2017-08,Australia,68894.0
2017-08,Indonesia,1915276.0
2017-08,Russia,71300.0
2017-08,World,2055537.5855
2017-09,Australia,135882.0
2017-09,Indonesia,1278433.0
2017-09,Russia,38500.0
2017-09,World,1535234.13
2017-12,Australia,135044.0
2017-12,Indonesia,1357246.0
2017-12,Russia,15500.0
2017-12,World,1508062.0
2018-01,Australia,207468.0
2018-01,Indonesia,1585944.0
2018-01,Russia,15500.0
2018-01,World,1863485.3
2018-03,Australia,69607.0
2018-03,Indonesia,1175269.0
2018-03,World,1299885.97465
2018-04,Australia,141905.0
2018-04,Indonesia,1706588.0
2018-04,Russia,15500.0
2018-04,World,1864123.006
2018-05,Australia,141835.81
2018-05,Indonesia,1519360.0
2018-05,Russia,177502.0
2018-05,World,1838841.81
2018-06,Australia,138597.0
2018-06,Indonesia,1471393.0
2018-06,Russia,69300.0
2018-06,World,1733107.346
2018-07,Australia,136079.0
2018-07,Indonesia,1481641.0
2018-07,Russia,115000.0
2018-07,World,1733030.718
2018-08,Australia,136391.0
2018-08,Indonesia,1451226.0
2018-08,Russia,71645.0
2018-08,World,1714262.028
2018-09,Australia,71500.0
2018-09,Indonesia,2383760.0
2018-09,Russia,107970.0
2018-09,World,2563301.565207
2018-12,Indonesia,1731599.0
2018-12,Russia,15500.0
2019-02,Australia,70555.0
2019-02,Indonesia,1777119.0
2019-02,Russia,15500.0
2019-02,USA,5.61955
2019-02,World,1863233.26755
2019-04,Australia,138886.0
2019-04,Indonesia,2199997.0
2019-04,Russia,19500.0
2019-04,World,2358602.465
2019-06,Australia,71517.808
2019-06,Indonesia,2536423.0
2019-06,Russia,27500.0
2019-06,World,2662611.7665999997
2019-08,Australia,69146.0
2019-08,Indonesia,2791090.0
2019-08,Russia,72650.0
2019-08,World,2965417.01
2019-10,Australia,71500.0
2019-10,Indonesia,2366025.0
2019-10,Russia,72877.0
2019-10,World,2555563.67
2019-12,Australia,71111.0
2019-12,Indonesia,2403620.0
2019-12,Russia,35056.717
2019-12,World,2537302.717
2020-02,Australia,16.026
2020-02,Indonesia,2070619.0
2020-02,Russia,39000.0
2020-02,World,2137210.496
2020-03,Australia,71500.0
2020-03,Indonesia,2354851.0
2020-03,Russia,19500.0
2020-03,World,2445857.435
2020-04,Australia,33.834
2020-04,Indonesia,1367266.0
2020-04,World,1367584.434
2020-06,Indonesia,2313038.0
2020-06,Russia,19500.0
2020-06,World,2357817.0
2020-08,Australia,68827.0
2020-08,Indonesia,2640645.0
2020-08,Russia,19500.0
2020-08,World,2756586.0
2020-10,Australia,70212.0
2020-10,Indonesia,2356050.0
2020-10,Russia,71342.0
2020-10,World,2497680.0
2020-12,Australia,17.808
2020-12,Indonesia,2331213.0
2020-12,Russia,46150.0
2020-12,World,2432245.808
2021-02,Indonesia,1755465.0
2021-02,Russia,19500.0
2021-02,World,1774992.55
2021-04,Australia,71499.0
2021-04,Indonesia,2298316.0
2021-04,Russia,52237.9
2021-04,World,2422052.9
2021-06,Indonesia,2545524.0
2021-06,World,2545533.25
2021-08,Australia,17.808
2021-08,Indonesia,2399565.0
2021-08,Russia,19500.0
2021-08,World,2419082.808
2021-10,Australia,23.1
2021-10,Indonesia,2898219.0
2021-10,Russia,19500.0
2021-10,USA,75.0
2021-10,World,2944883.1
2021-12,Indonesia,2689554.0
2021-12,Russia,19500.0
2021-12,South Africa,54100.0
2021-12,World,2808447.7
2022-02,Australia,104517.808
2022-02,Indonesia,2086245.0
2022-02,Russia,56350.0
2022-02,USA,283.212
2022-02,World,2247619.9434
2022-04,Australia,71500.0
2022-04,Indonesia,2920519.0
2022-04,Russia,36555.4
2022-04,World,3054015.434
2022-06,Australia,16.027
2022-06,Indonesia,3374852.0
2022-06,South Africa,307.61
2022-06,World,3375215.637
2022-08,Australia,80903.0
2022-08,Indonesia,2757365.0
2022-08,World,2884399.42
2022-09,Indonesia,2781146.0
2022-09,South Africa,300.754
2022-09,USA,152.0
2022-09,World,2781678.894
2022-10,Indonesia,2437685.0
2022-10,Russia,73800.0
2022-10,South Africa,304.72
2022-10,World,2604147.72
2022-11,Australia,16.027
2022-11,Indonesia,2749880.0
2022-11,South Africa,307.72
2022-11,World,2814330.37591
2023-01,Indonesia,2764132.0
2023-01,South Africa,301.71
2023-01,World,2791975.51
2023-03,Indonesia,2633026.0
2023-05,Australia,58760.0
2023-05,Indonesia,3476209.0
2023-05,South Africa,309.66
2023-05,World,3535329.085
2023-07,Indonesia,3265215.0
2023-07,Russia,82500.0
2023-07,World,3373290.3
2023-09,Australia,30815.0
2023-09,Indonesia,2636319.0
2023-09,South Africa,311.0
2023-09,World,2667445.0
2023-10,Australia,16.027
2023-10,Indonesia,3260258.0
2023-10,World,3260308.447
2023-11,Australia,22.26
2023-11,Indonesia,3403265.0
2023-11,World,3428859.26
2024-01,Australia,23.385
2024-01,Indonesia,2475983.024
2024-01,South Africa,301.459
2024-01,World,2501312.368
2024-03,Indonesia,2960752.0
2024-03,World,2960759.4
2024-05,Indonesia,4387878.904
2024-05,World,4410454.464
2024-06,Australia,59578.0
2024-06,Indonesia,3152137.0
2024-06,World,3211719.506
2024-07,Indonesia,3703262.333
2024-07,World,3730341.8013299997
2024-09,Indonesia,3926208.524
2024-09,World,3926416.636
2024-11,Indonesia,2974532.865
2024-11,South Africa,616.736
2024-11,World,2975157.306
2024-12,Indonesia,2778842.0
2024-12,South Africa,314.696
