date,partner,tonnes
2012-01,USA,135437.648
2012-01,World,204557.72
2012-03,Australia,74697.44
2012-03,Canada,1.1
2012-03,USA,373382.656
2012-03,World,535312.652
2012-05,Australia,164375.216
2012-05,Canada,165058.112
2012-05,Russia,10973.572
2012-05,USA,221027.968
2012-05,World,652626.268
2012-07,USA,562456.565
2012-07,World,640524.141
2012-09,Russia,8635.128
2012-09,USA,411952.864
2012-09,World,541199.512
2012-11,Australia,76222.528
2012-11,Russia,11509.3
2012-11,USA,279026.784
2012-11,World,437088.196
2012-12,Australia,164259.328
2012-12,Russia,26005.846
2012-12,USA,306473.248
2012-12,World,596113.442
2013-01,Australia,81852.1
2013-01,USA,290170.0
2013-01,World,414876.94
2013-02,Canada,169376.0
2013-02,World,240492.654
2013-03,USA,390333.0
2013-03,World,412919.79
2013-05,World,86442.111
2013-06,Indonesia,147047.0
2013-06,Russia,5091.85
2013-06,USA,313764.0
2013-06,World,540923.065
2013-07,Australia,164272.0
2013-07,Russia,5087.45
2013-07,USA,296962.0
2013-07,World,545525.65
2013-08,Australia,164467.0
2013-08,USA,140555.0
2013-08,World,420282.569
2013-09,Australia,165010.0
2013-09,Russia,3000.0
2013-09,USA,239701.0
2013-09,World,490043.932
2013-10,USA,150383.19
2013-10,World,182329.865
2013-11,Russia,4690.6
2013-11,USA,528168.7
2013-11,World,579696.885
2013-12,USA,521069.0
2013-12,World,568741.446
2014-01,Canada,164997.0
2014-01,Colombia,47404.5
2014-01,Russia,41489.6
2014-01,USA,375792.0
2014-01,World,685410.311
2014-02,USA,148285.0
2014-02,World,237816.235
2014-03,USA,359835.0
2014-03,World,400978.57
2014-04,Canada,164396.0
2014-04,Russia,40190.4
2014-04,USA,370470.0
2014-04,World,679305.895
2014-05,Russia,61328.1
2014-05,USA,615538.0
2014-05,World,739520.2
2014-06,Russia,3061.35
2014-06,USA,162126.0
2014-06,World,231526.928
2014-07,Australia,239094.0
2014-07,Colombia,48807.5
2014-07,Russia,7719.05
2014-07,USA,222149.0
2014-07,World,624630.48
2014-08,USA,373995.0
2014-08,World,513706.18
2014-10,Canada,143750.0
2014-10,Russia,15504.06
2014-10,USA,305045.0
2014-10,World,547830.55
2014-12,Australia,278653.0
2014-12,Russia,42885.03
2014-12,USA,303103.0
2014-12,World,640815.72
2015-02,Canada,165282.0
2015-02,Colombia,537302.0
2015-02,Russia,841585.22
2015-02,South Africa,635448.0
2015-02,USA,422890.0
2015-02,World,2655090.84
2015-04,Australia,136670.0
2015-04,Colombia,1026568.0
2015-04,Indonesia,161801.0
2015-04,Russia,656082.9
2015-04,South Africa,653274.6
2015-04,USA,329383.0
2015-04,World,3051339.161
2015-06,Australia,158150.0
2015-06,Colombia,1052370.0
2015-06,Russia,989469.5
2015-06,South Africa,304549.7
2015-06,USA,110427.0
2015-06,World,2696692.372
2015-08,Australia,497110.0
2015-08,Canada,171087.0
2015-08,Colombia,662251.3
2015-08,Indonesia,91031.0
2015-08,Russia,1052382.3
2015-08,South Africa,204553.9
2015-08,USA,56130.9
2015-08,World,2792223.5
2015-10,Australia,107220.0
2015-10,Colombia,1479219.9
2015-10,Russia,934062.98
2015-10,South Africa,310024.76
2015-10,USA,166896.0
2015-10,World,3067360.463
2015-12,Australia,395151.0
2015-12,Canada,161297.0
2015-12,Colombia,1029709.0
2015-12,Russia,1545746.52
2015-12,South Africa,548196.5
2015-12,USA,39.532
2015-12,World,3702923.79
2016-02,Australia,391588.0
2016-02,Canada,260467.0
2016-02,Colombia,1155745.0
2016-02,Indonesia,56170.6
2016-02,Russia,796307.68
2016-02,South Africa,405962.0
2016-02,USA,150863.0
2016-02,World,3217103.28
2016-04,Australia,265237.0
2016-04,Colombia,1150579.0
2016-04,Russia,663015.05
2016-04,South Africa,51748.9
2016-04,USA,125588.748
2016-04,World,2359095.898
2016-05,Australia,101002.0
2016-05,Canada,166958.0
2016-05,Colombia,980087.0
2016-05,Russia,571739.0
2016-05,South Africa,281642.4
2016-05,USA,72496.8
2016-05,World,2354023.176
2016-07,Australia,261568.0
2016-07,Colombia,1323152.0
2016-07,Russia,1116267.49
2016-07,South Africa,70437.0
2016-07,USA,259801.0
2016-07,World,3108886.418
2016-08,Australia,175323.0
2016-08,Colombia,1466739.0
2016-08,Russia,1142714.28
2016-08,South Africa,177230.6
2016-08,USA,47388.898
2016-08,World,3179290.578
2016-10,Australia,448178.0
2016-10,Canada,59943.3
2016-10,Colombia,1597318.0
2016-10,Russia,1384303.46
2016-10,South Africa,20000.0
2016-10,World,3665649.85
2016-12,Australia,163343.0
2016-12,Canada,169471.0
2016-12,Colombia,1849310.0
2016-12,Russia,935182.99
2016-12,South Africa,89573.9
2016-12,USA,102573.402
2016-12,World,3309929.777
2017-01,Australia,196763.0
2017-01,Canada,76739.3
2017-01,Colombia,1032562.0
2017-01,Indonesia,72804.9
2017-01,Russia,817986.13
2017-01,South Africa,59401.0
2017-01,USA,147881.0
2017-01,World,2530077.621
2017-03,Australia,145005.0
2017-03,Colombia,1823446.0
2017-03,Russia,925406.84
2017-03,South Africa,95828.0
2017-03,USA,73815.5
2017-03,World,3103538.78
2017-05,Colombia,1041302.0
2017-05,Indonesia,86762.3
2017-05,Russia,1205728.9
2017-05,South Africa,30589.0
2017-05,USA,147179.0
2017-05,World,2521557.53
2017-06,Australia,228347.0
2017-06,Colombia,1110315.0
2017-06,Russia,1235661.4
2017-06,South Africa,30066.0
2017-06,USA,142418.0
2017-06,World,2749365.05
2017-08,Canada,162799.0
2017-08,Colombia,1370514.0
2017-08,Russia,1598286.99
2017-08,South Africa,374792.0
2017-08,USA,184355.0
2017-08,World,3766181.39
2017-10,Canada,158358.0
2017-10,Colombia,1500699.0
2017-10,Russia,1528875.15
2017-10,South Africa,355045.0
2017-10,USA,324484.0
2017-10,World,3870016.11
2017-12,Australia,247377.0
2017-12,Colombia,1704047.0
2017-12,Russia,1302082.0
2017-12,South Africa,339309.0
2017-12,USA,133153.9
2017-12,World,3860967.103
2018-02,Australia,81270.4
2018-02,Canada,171471.0
2018-02,Colombia,1709342.0
2018-02,Russia,705925.6
2018-02,South Africa,278431.4
2018-02,USA,77011.207
2018-02,World,3026528.058
2018-04,Australia,136017.7
2018-04,Canada,127782.0
2018-04,Colombia,1225954.0
2018-04,Russia,916046.55
2018-04,South Africa,56365.7
2018-04,USA,286565.1
2018-04,World,2780993.53
2018-06,Australia,168852.0
2018-06,Colombia,1393687.0
2018-06,Russia,786974.63
2018-06,South Africa,20000.0
2018-06,USA,371221.0
