date,tonnes
2012-12,3.5022083924e7
2013-01,3.2680481395e7
2013-02,3.071371995e7
2013-03,3.4726743109e7
2013-04,3.3867696941e7
2013-05,3.5211674698e7
2013-06,2.9637955983e7
2013-07,3.2489469002e7
2013-08,2.8367699557e7
2013-10,2.985255276e7
2013-11,2.0759563415e7
2013-12,3.241300039e7
2014-01,2.651447035e7
2014-02,2.8333966053e7
2014-03,3.2844297909e7
2014-04,2.9599077959e7
2014-05,3.0644880938e7
2014-06,2.9329877642e7
2014-07,2.9092079173e7
2014-08,2.7042273234e7
2014-09,3.0565437732e7
2014-10,2.894668361e7
2015-01,1.8128112654171e7
2015-02,1.6577148260274e7
2015-03,2.0367900536498003e7
2015-04,1.8190600730389e7
2015-05,1.69793990577e7
2015-06,1.5511376360954e7
2015-07,1.5810535527976999e7
2015-08,1.5149661105844999e7
2015-09,1.4663693595318e7
2015-10,1.5039937550094e7
2015-11,1.4404545725406999e7
2015-12,1.485216706508e7
2016-01,1.6697493494824e7
2016-02,1.5863697398609e7
2016-03,1.7050416611476e7
2016-04,1.504607594914e7
2016-05,1.4781127113962999e7
2016-06,1.6032665822544001e7
2016-07,1.5266057399000999e7
2016-08,1.7457286201814e7
2016-09,1.7480971815231998e7
2016-10,1.8264336099672e7
2016-11,2.1581777446305e7
2016-12,2.3571139450223997e7
2017-01,2.633443803e7
2017-02,2.280992546e7
2017-03,2.871817768e7
2017-04,2.725561858e7
2017-05,2.649515733e7
2017-06,2.366099522e7
2017-07,2.586451758e7
2017-08,2.546850221e7
2017-09,2.748744657e7
2017-10,2.904864412e7
2017-11,2.8137493096e7
2017-12,2.781756769e7
2018-01,2.7786856116e7
2018-02,2.500205519e7
2018-03,3.033992164e7
2018-04,2.6911613612e7
2018-05,2.798051029e7
2018-06,2.766855791e7
2018-07,3.086426433e7
2018-08,2.673028776e7
2018-09,2.827095859e7
2018-10,3.164888278e7
2018-11,2.909613478e7
2018-12,3.08239811e7
2019-01,3.174882139e7
2019-02,2.790592296e7
2019-03,3.300046022e7
2019-04,3.079521145e7
2019-05,3.248161639e7
2019-06,2.7672602523e7
2019-07,3.098839759e7
2019-08,3.0052391575e7
2019-09,3.219724205434e7
2019-10,3.4459682451e7
2019-11,3.229999199e7
2019-12,3.133361572e7
2020-01,3.156049166e7
2020-02,2.9734549858009998e7
2020-03,3.320155827949e7
2020-04,2.5574437741418e7
2020-05,2.3485032704218e7
2020-06,2.5990280554396998e7
2020-07,2.745005722379e7
2020-08,2.6387746294639e7
2020-09,2.6475705771415003e7
2020-10,2.8583728557394e7
2020-11,3.1216804056056e7
2020-12,3.1887270684548e7
2021-01,2.82219272e7
2021-02,2.65112715e7
2021-03,2.9017090561e7
2021-04,2.83005605e7
2021-05,2.93302921e7
2021-06,2.873520058e7
2021-07,3.18660375e7
2021-08,2.96631879e7
2021-09,2.9669443e7
2021-10,3.09285633e7
2021-11,2.64880953e7
2021-12,2.67214727e7
2022-01,1.09229433e7
2022-02,2.49765885e7
2022-03,3.53156797e7
2022-04,3.19760596e7
2022-05,3.3274270528193e7
2022-06,3.4112324180325e7
2022-07,3.34526224e7
2022-08,3.27805381e7
2022-09,3.315113985e7
2022-10,3.273362366e7
2022-11,2.96949314e7
2022-12,2.77245132e7
2023-01,2.6169669607e7
2023-02,2.7525663244e7
2023-03,3.5168531816e7
2023-04,3.2492255839e7
2023-05,3.1614503377e7
2023-06,2.8598239965e7
2023-07,3.2264695494e7
2023-08,2.9605208577e7
2023-09,3.0421737556e7
2023-10,3.596281557492e7
2023-11,3.3880315236502e7
2023-12,3.6001569951e7
2024-01,2.949971165613e7
2024-02,3.320618628438e7
2024-03,3.331495638e7
2024-04,3.4282928584873e7
2024-05,3.3687509324028e7
2024-06,3.2658711916e7
2024-07,3.4111315672e7
2024-08,3.4016253582e7
2024-09,3.4635378574e7
2024-10,3.4772248463e7
2024-11,3.5129227655e7
2024-12,3.6446812423e7
2025-01,3.0409061077e7
2025-02,3.081812715e7
2025-03,3.0728231325e7
2025-04,3.0809454274e7
2025-05,3.3601326161e7
2025-06,2.7828526124e7
2025-07,3.0516419489e7
2025-08,3.6415728595e7
2025-09,3.4103234162e7
2025-10,3.5239834134e7
2025-11,3.4173147302e7
2025-12,3.6281973263e7
