date,tonnes
2016-01,1.1564228e6
2016-02,274961.65
2016-03,1.82104495e6
2016-04,1.7556956e6
2016-05,2.17129605e6
2016-06,2.4990681e6
2016-07,1.42222365e6
2016-08,2.53103715e6
2016-09,2.54630768e6
2016-10,2.48458199e6
2016-11,3.46228053e6
2016-12,3.58764462e6
2017-01,2.591636943e6
2017-02,2.20067915e6
2017-03,3.3222198e6
2017-04,3.4396361e6
2017-05,3.37148135e6
2017-06,4.03157035e6
2017-07,1.8965489e6
2017-08,2.393895e6
2017-09,2.28485625e6
2017-10,2.614495e6
2017-11,2.83331927e6
2017-12,2.0105997e6
2018-01,1.9261883e6
2018-02,1.2224252e6
2018-03,3.45695755e6
2018-04,3.53024625e6
2018-05,3.9559024e6
2018-06,3.91014935e6
2018-07,2.5293755e6
2018-08,2.93501415e6
2018-09,3.542288e6
2018-10,3.9122171e6
2018-11,2.41340015e6
2018-12,2.42403555e6
2019-01,2.1183606e6
2019-02,1.9066917e6
2019-03,3.7074463e6
2019-04,3.6521747e6
2019-05,3.6761754e6
2019-06,2.97011615e6
2019-07,2.77700057e6
2019-08,4.1156642e6
2019-09,3.70439703e6
2019-10,3.8727671e6
2019-11,2.2795718e6
2019-12,1.686401e6
2020-01,2.42509411e6
2020-02,351431.9
2020-03,347833.8
2020-04,995058.07
2020-05,2.1716349e6
2020-06,2.36207465e6
2020-07,2.55546705e6
2020-08,3.9661968e6
2020-09,4.646652549e6
2020-10,4.3556878e6
2020-11,2.8208315e6
2020-12,1.5889237e6
2021-01,3.1473991e6
2021-02,2.5225001e6
2021-03,2.6077186e6
2021-04,714910.6
2021-05,1.5890787e6
2021-06,750997.1
2021-07,746140.25
2021-08,1.2650598e6
2021-09,1.20955135e6
2021-10,1.75348165e6
2021-11,2.1286858e6
2021-12,770806.4
