date,tonnes
2013-01,8.805180667e6
2013-02,1.1878108623e7
2013-03,1.2365511649e7
2013-04,9.614398103e6
2013-05,1.2629540378e7
2013-06,1.1691307795e7
2013-07,1.1987080604e7
2013-08,1.1572496495e7
2013-09,1.3352606669e7
2013-10,1.1513159062e7
2013-11,1.1533518591e7
2013-12,1.2041959189e7
2014-01,9.372596467e6
2014-02,1.2632297945e7
2014-03,1.5218307237e7
2014-04,1.258077946e7
2014-05,1.2847320382e7
2014-06,1.268915801e7
2014-07,1.0657444377e7
2014-08,1.1495509317e7
2014-09,1.5577868832e7
2014-10,1.3885609162e7
2014-11,1.1541365779e7
2014-12,1.4664611066e7
2015-01,9.915837962e6
2015-02,1.0376694217e7
2015-03,1.5825346565e7
2015-04,1.1251939063e7
2015-05,1.18921134e7
2015-06,1.5073919436e7
2015-07,8.753684615e6
2015-08,1.3255194881e7
2015-09,1.6780478019e7
2015-10,9.676900636e6
2015-11,1.3074562499e7
2015-12,1.6786255814e7
2016-01,7.29887038e6
2016-02,1.4591072803e7
2016-03,1.7833594656e7
2016-04,9.677931546e6
2016-05,1.1670657690399999e7
2016-06,1.9537935757e7
2016-07,9.352646201e6
2016-08,1.6982674643e7
2016-09,1.6670411784e7
2016-10,9.521788706e6
2016-11,1.4197788781e7
2016-12,1.87811858765e7
2017-01,9.53253402e6
2017-02,1.2358120321e7
2017-03,1.978146409e7
2017-04,9.561948426e6
2017-05,1.6610006271e7
2017-06,2.0697180306e7
2017-07,1.0200868704e7
2017-08,1.644192392e7
2017-09,1.864959664e7
2017-10,1.235049646e7
2017-11,1.79630687e7
2017-12,1.7261459942e7
2018-01,1.134913009e7
2018-02,1.4964522929e7
2018-03,1.999925968e7
2018-04,1.3625145182148e7
2018-05,1.7588993605e7
2018-06,1.9464073199e7
2018-07,1.15202992655e7
2018-08,1.8442962626e7
2018-09,1.9371455686e7
2018-10,1.489342883e7
2018-11,1.9706095744e7
2018-12,1.8586479379e7
2019-01,1.1049825286e7
2019-02,1.855382736e7
2019-03,2.4008417417e7
2019-04,1.5384036418e7
2019-05,1.6337463016e7
2019-06,1.798700091e7
2019-07,1.308314669e7
2019-08,1.8101412498e7
2019-09,1.9129060086e7
2019-10,1.5911309282e7
2019-11,1.7894151321e7
2019-12,1.7955671151e7
2020-01,1.2710891942e7
2020-02,1.4898527059e7
2020-03,1.908248248762e7
2020-04,1.2011661737e7
2020-05,1.6212989872e7
2020-06,1.8717750430351e7
2020-07,1.5353989767833e7
2020-08,1.7129219264330998e7
2020-09,2.0197896372307e7
2020-10,1.3880651056429e7
2020-11,1.73119577935e7
2020-12,2.0428496160799e7
2021-01,1.21837729685e7
2021-02,1.526537414884e7
2021-03,2.2465049788806e7
2021-04,1.4503570248239e7
2021-05,1.7001974230609e7
2021-06,2.0483971063605e7
2021-07,1.4501308805912001e7
2021-08,2.0199204156060003e7
2021-09,2.13345001585e7
2021-10,1.6761094941500999e7
2021-11,1.5927849733167998e7
2021-12,2.0068184047448e7
