date,tonnes
2016-01,4.963908481979e6
2016-02,4.958849036616e6
2016-03,5.409762628444e6
2016-04,5.167196698024999e6
2016-05,4.704217249340001e6
2016-06,5.962411305052e6
2016-07,3.8535501636240003e6
2016-08,5.765319112616e6
2016-09,5.006050171340999e6
2016-10,6.5992518158909995e6
2016-11,1.0362522359548999e7
2016-12,1.2540611377360001e7
2017-01,1.1339615969148e7
2017-02,1.0913107157262e7
2017-03,1.2993591605419e7
2017-04,1.0832461440489e7
2017-05,1.1884672043458e7
2017-06,1.0928445061427e7
2017-07,9.929014373816999e6
2017-08,1.1451896309469e7
2017-09,1.1829619904435e7
2017-10,1.1540480582604e7
2017-11,1.1071278009275999e7
2017-12,1.2305740668756e7
2018-01,1.0566129138226e7
2018-02,1.2046117866392e7
2018-03,1.2316037816079e7
2018-04,1.3547384487867001e7
2018-05,1.1209091263163e7
2018-06,1.2325724106043e7
2018-07,1.1781079816645e7
2018-08,1.1673769268251e7
2018-09,1.1052498570542999e7
2018-10,1.3230204013804002e7
2018-11,1.1133928573136998e7
2018-12,1.1015374357838e7
2019-01,9.485562806285e6
2019-02,7.189521522682999e6
2019-03,9.805995357111e6
2019-04,8.519841254361e6
2019-05,9.660443844010001e6
2019-06,8.619094234941e6
2019-07,6.720354886097999e6
2019-08,7.839314202622e6
2019-09,7.658358038614e6
2019-10,6.000807575846e6
2019-11,6.916528974316e6
2019-12,6.126310329543999e6
2020-03,6.267664e6
2020-04,4.968062e6
2020-05,4.278306e6
2020-06,4.15267e6
2020-07,4.859992e6
2020-08,4.101343e6
2020-09,4.87089e6
2020-10,4.575586e6
2020-11,6.365469e6
2020-12,6.349093e6
2021-01,5.196667e6
2021-02,6.706872e6
2021-03,6.875469e6
2021-04,6.177077e6
2021-05,6.788964e6
2021-06,7.105925e6
2021-07,5.905523e6
2021-08,6.976506e6
2021-09,5.908321e6
2021-10,6.583056e6
2021-11,6.343225e6
2021-12,6.708864e6
2022-01,5.333830672276e6
2022-02,7.124133325465e6
2022-03,7.771695170558e6
2022-04,8.820714726073999e6
2022-05,8.263528591251001e6
2022-06,8.415072158188e6
2022-07,6.764052984925e6
2022-08,6.480358142029e6
2022-09,6.486365905654e6
2022-10,6.0998334517749995e6
2022-11,7.023453226914e6
2022-12,5.828487646353e6
2023-01,6.486027723168001e6
2023-02,7.215995429265e6
2023-03,8.581254833116999e6
2023-04,6.666446118488e6
2023-05,7.4896712636359995e6
2023-06,6.531796194821e6
2023-07,6.088856548668999e6
2023-08,7.501647931158e6
2023-09,7.4140034139020005e6
2023-10,8.326172788583e6
2023-11,7.410339253563e6
2023-12,7.991757796759e6
2024-01,7.582158246564999e6
2024-02,8.457787633638e6
2024-03,8.599069308471e6
2024-04,5.620318261659e6
2024-05,4.307848549889e6
2024-06,6.924561307599e6
2024-07,5.740648012405e6
2024-08,7.544661065428001e6
2024-09,6.075998730909e6
2024-10,6.252482593227e6
2024-11,5.471981351124e6
2024-12,4.842111162164e6
2025-01,6.658194543495e6
2025-02,5.526794925696e6
2025-03,6.170998285369e6
2025-04,6.109685197672e6
2025-05,5.0365853344910005e6
2025-06,4.469194599717e6
2025-07,4.595736684373e6
2025-08,6.942709385746e6
2025-09,6.504675383116e6
2025-10,6.736368167338001e6
2025-11,3.8971131594229997e6
2025-12,4.328264619345999e6
