date,tonnes
2012-02,6.61027399574e6
2012-03,7.682940902741e6
2012-04,5.741213935e6
2012-06,6.1341441073e6
2012-07,6.20283392137e6
2012-08,6.50879360313e6
2012-09,5.97067927852e6
2012-10,6.794660219932e6
2012-11,6.83994085195e6
2012-12,6.972049172069999e6
2013-01,5.0314633229e6
2013-02,6.598402819390001e6
2013-04,6.53520517327e6
2013-05,5.43441388655e6
2013-06,5.69132640219e6
2013-07,6.53009288962e6
2013-08,6.51336706947e6
2013-09,7.30068918718e6
2013-10,7.2665389098000005e6
2014-01,6.60446841092e6
2014-02,7.56249925087e6
2014-03,4.709153442869999e6
2014-05,6.00414982975e6
2014-06,5.1644821956e6
2014-07,7.54072057839e6
2014-08,6.4638569161e6
2014-09,7.174738843239999e6
2014-10,7.66314228324e6
2014-11,6.469184175229999e6
2014-12,7.780330123819999e6
2015-01,7.068770088380001e6
2015-02,6.33722112102e6
2015-03,6.47622538007e6
2015-04,6.14650251735e6
2015-06,4.9074136106199995e6
2015-07,7.48499689352e6
2015-08,5.8937656584250005e6
2015-09,6.36310896937e6
2015-10,7.5504753448129995e6
2015-11,7.213134283890001e6
2015-12,7.253320200479999e6
2016-01,6.369830046060001e6
2016-02,5.017065115979999e6
2016-03,6.72147563945e6
2016-04,6.58759509254e6
2016-05,6.730744821020001e6
2016-07,4.97680079979e6
2016-08,6.20070386195e6
2016-09,8.20721169657e6
2016-11,7.88752289712e6
2016-12,7.13254283328e6
2017-01,5.99098928856e6
2017-04,6.42891377989e6
2017-05,7.7588611607e6
2018-02,6.2347845683e6
2018-03,7.3263432680399995e6
2018-04,6.781601764529999e6
2018-05,6.151285193998001e6
2018-06,6.434600237621999e6
2018-07,5.06139965621e6
2018-09,7.1020507641199995e6
2018-10,6.47492539905e6
2018-11,8.75449133126e6
2019-01,5.0347992519e6
2019-02,7.048992447810001e6
2019-05,6.87613293361e6
2019-06,6.869179509729999e6
2019-08,5.65359568887e6
2019-12,6.39222040109e6
2020-01,7.00029573146e6
2020-02,5.5862089164700005e6
2020-03,6.139002092619e6
2020-04,4.03102245904e6
2020-05,6.66808643688e6
2020-06,6.258028620569999e6
2020-07,6.300033623609999e6
2020-08,6.081660875899999e6
2020-09,6.84238232745e6
2020-10,7.116650870560001e6
2020-11,6.434019655859999e6
2021-01,3.83021104367e6
2021-02,5.65240412612e6
2021-03,6.335610844052e6
2021-04,5.628993533439999e6
2021-06,5.217632580569999e6
2021-07,5.18309881971e6
2021-12,5.92730435746e6
2022-01,5.50247471702e6
2022-02,6.20904368342e6
2022-04,4.89878298828e6
2022-07,5.50411506028e6
2022-12,5.38986046196e6
2023-03,6.04288542241e6
2023-05,6.23592675516e6
2023-06,5.97680819728e6
2023-08,6.366279495065e6
2023-09,5.6255548384e6
2023-11,6.026314416270001e6
2023-12,7.246288522369999e6
2024-01,6.116661462739999e6
2024-03,6.22389255238e6
2024-05,6.07293192776e6
2024-07,3.95682805613e6
2024-08,6.294942422676e6
2024-09,5.741043402488e6
2024-10,6.5604966372e6
2024-12,6.815616178560001e6
2025-01,6.40265835496e6
2025-03,6.578577497350001e6
2025-04,6.36894201774e6
2025-05,6.4515822420500005e6
2025-06,4.46896943599e6
2025-07,4.934909464378e6
2025-08,5.29659492987e6
2025-09,6.194957483109999e6
2025-10,7.20518831966e6
2025-12,6.201346589819999e6
