date,tonnes
2012-01,7.217836e6
2012-02,8.607502e6
2012-03,8.612662e6
2012-04,1.077744e7
2012-05,1.2298238e7
2012-06,1.1887747e7
2012-07,1.0046631e7
2012-08,1.2296045e7
2012-09,1.0404593e7
2012-10,1.1585719e7
2012-11,1.3782888e7
2012-12,1.3646303e7
2013-01,1.4806874e7
2013-02,1.1129334e7
2013-03,1.3123658e7
2013-04,1.2509598e7
2013-05,1.2787384e7
2013-06,1.5121711e7
2013-07,1.5399057e7
2013-08,1.4326793e7
2013-09,1.0848728e7
2013-10,1.4649507e7
2013-11,1.1845342e7
2013-12,1.4201123e7
2014-02,1.0010922e7
2014-03,1.6651819e7
2014-04,1.6217171e7
2014-05,1.567629e7
2014-06,1.6544319e7
2014-07,1.6518154e7
2014-08,1.3912119e7
2014-09,1.7188816e7
2014-10,1.5053674e7
2014-11,2.2272612e7
2014-12,1.8629821e7
2015-01,2.1895547e7
2015-02,2.1399176e7
2015-03,2.0337292e7
2015-04,1.7575371e7
2015-05,1.960359e7
2015-06,1.7057553e7
2015-07,1.2817353e7
2015-08,1.3993156e7
2015-09,1.3157237e7
2015-10,1.6335354e7
2015-11,1.4382459e7
2015-12,1.7826445e7
2016-01,1.8166828e7
2016-02,1.961117e7
2016-03,1.5683851e7
2016-04,1.6353595e7
2016-05,1.7595571e7
2016-06,1.7646717e7
2016-07,1.6412605e7
2016-08,1.516094e7
2016-09,1.4618044e7
2016-10,1.4935861e7
2016-11,1.2623209e7
2016-12,1.4299904e7
2017-01,1.3863636e7
2017-02,1.3993858e7
2017-03,1.639449e7
2017-04,1.8270758e7
2017-05,1.7942135e7
2017-06,1.5355966309559e7
2017-07,1.4587332e7
2017-08,1.5288426810875999e7
2017-09,1.6181625261416001e7
2017-10,1.8420238113052e7
2017-11,1.7972547e7
2017-12,1.9470425062609002e7
2018-01,1.8830660041659e7
2018-02,1.6162680130166e7
2018-03,1.9708086449446e7
2018-04,1.7557899317488e7
2018-05,1.8784840557914e7
2018-06,1.9264464645202998e7
2018-07,1.8198782105171002e7
2018-08,1.9068860400889e7
2018-09,1.8672425278563e7
2018-10,2.1524969553798e7
2018-11,2.0123966702964e7
2018-12,1.9462435381013002e7
2019-01,2.1891695842761002e7
2019-03,2.1566260234183e7
2019-04,2.4727732420321e7
2019-05,2.3786095476376e7
2019-06,2.1313336e7
2019-07,1.9698742836713e7
2019-08,1.7484097323263e7
2019-09,1.7570115815272e7
2019-10,1.915905e7
2019-11,2.1834806275792e7
2019-12,2.1070991867571e7
2020-01,2.0585441241981998e7
2020-02,2.2490479142528e7
2020-03,1.8810548768617e7
2020-04,1.3681657124977e7
2020-05,1.5374055809275e7
2020-06,1.3538480825714001e7
2020-07,1.4519560736506e7
2020-08,1.6938273446156e7
2020-09,1.7147898979499e7
2020-10,2.1976009e7
2020-11,2.1180996e7
2020-12,2.1852378949494e7
2021-01,2.4152760289459e7
2021-02,1.6080728945176e7
2021-03,1.8634452356187e7
2021-04,2.1372778941838e7
2021-05,2.0686265085e7
2021-06,2.0282545547e7
2021-07,1.7190074483e7
2021-08,1.4616640990123e7
2021-09,1.5608794713825e7
2021-10,3.3581755874582e7
2021-11,1.609770976e7
2021-12,1.378813130519e7
2022-01,1.2356530672156e7
2022-02,1.326052092e7
2022-03,2.2378022119066004e7
2022-04,1.9281988261294e7
2022-05,2.0651385157e7
2022-06,2.723045457e7
2022-07,2.3117638305e7
2022-08,2.1706891343e7
2022-09,1.9883956248e7
2022-10,1.7324175125e7
2022-11,1.8807796689e7
2022-12,1.806253018e7
2023-01,1.439065443e7
2023-02,1.7749222865e7
2023-03,1.9664163712e7
2023-04,2.0014576455e7
2023-05,2.790466125e7
2023-06,2.294689164e7
2023-07,1.8814907128e7
2023-08,1.9130368015e7
2023-09,1.8989897015e7
2023-10,2.6392169957e7
2023-11,2.345141453e7
2023-12,2.2564968269e7
2024-01,2.0996347908e7
2024-02,2.1381163447883997e7
2024-03,2.2012103032e7
2024-04,2.2581234426e7
2024-05,2.5034433763776e7
2024-06,2.1086095899e7
2024-07,2.1808293358887002e7
2024-08,2.0688440883808997e7
2024-09,1.8325816996771e7
2024-10,1.986351691e7
2024-11,1.873821588e7
2024-12,1.5289917665e7
2025-01,2.2208946465e7
2025-02,1.7860120401e7
2025-03,2.0297987494e7
2025-04,2.4269646795e7
2025-05,2.504977562e7
2025-06,2.156287357e7
2025-07,2.1083538808723e7
2025-08,1.9080177828e7
2025-09,1.7963091633e7
2025-10,2.0795297225e7
2025-11,2.0482470706758e7
2025-12,1.9031195226e7
