date,tonnes
2012-01,1.6841923e7
2012-02,1.4543765e7
2012-03,1.4952369e7
2012-04,1.2576736e7
2012-05,1.5713933e7
2012-06,1.4246127e7
2012-07,1.682646e7
2012-08,1.6217889e7
2012-09,1.7384927e7
2012-10,1.5789595e7
2012-11,1.5644752e7
2012-12,1.4474342e7
2013-01,1.5296778e7
2013-02,1.3834864e7
2013-03,1.5828628e7
2013-04,1.5557084e7
2013-05,1.5305852e7
2013-06,1.6037219e7
2013-08,1.7032357e7
2013-09,1.5190583e7
2013-10,1.5792727e7
2013-11,1.6715599e7
2014-02,1.501003e7
2014-04,1.4102779e7
2014-06,1.5805096e7
2014-07,1.71319e7
2014-08,1.6309553e7
2014-09,1.5717394e7
2014-10,1.6415413e7
2014-11,1.3973611e7
2014-12,1.6561297e7
2015-01,1.7748203e7
2015-02,1.5144002e7
2015-03,1.5400658e7
2015-04,1.5314071e7
2015-05,1.2333681e7
2015-06,1.5927771e7
2015-07,1.7938677e7
2015-08,1.6527908e7
2015-09,1.6263409e7
2015-10,1.59555e7
2015-11,1.646704e7
2015-12,1.5707092e7
2016-01,1.6932615e7
2016-02,1.5321916e7
2016-04,1.3017315e7
2016-05,1.539016e7
2016-06,1.442751e7
2016-07,1.6110779e7
2016-08,1.5207601e7
2016-09,1.6587621e7
2016-10,1.7080506e7
2016-11,1.6473447e7
2017-01,1.7523964628536e7
2017-02,1.4721353e7
2017-03,1.6633789e7
2017-04,1.3717455e7
2017-05,1.4472395e7
2017-06,1.7271894e7
2017-07,1.6701806e7
2017-08,1.6210335e7
2017-09,1.4980439856576e7
2017-10,1.5853278e7
2017-11,1.6151345e7
2017-12,1.8646626e7
2018-01,1.6373086e7
2018-02,1.5058847e7
2018-03,1.5682064e7
2018-04,1.4795923e7
2018-05,1.5764398e7
2018-06,1.4161846e7
2018-07,1.5922777e7
2018-08,1.7724413e7
2018-09,1.5330905e7
2018-10,1.5211533e7
2018-11,1.7565175e7
2018-12,1.5763254e7
2019-01,1.6176256e7
2019-02,1.4454497e7
2019-03,1.5686406e7
2019-04,1.5078354187827999e7
2019-05,1.3916659e7
2019-06,1.4006584e7
2019-07,1.7801122e7
2019-08,1.5615758e7
2019-09,1.4860004e7
2019-10,1.5598588162813e7
2019-11,1.5583899e7
2019-12,1.7430539e7
2020-01,1.6551563943552e7
2020-02,1.4447352e7
2020-03,1.6019045e7
2020-04,1.5900495e7
2020-05,1.2361595e7
2020-06,1.3116453e7
2020-07,1.4053802e7
2020-08,1.3039521e7
2020-09,1.3726134e7
2020-10,1.4702794e7
2020-11,1.450252e7
2020-12,1.533332e7
2021-01,1.614427e7
2021-02,1.5609012e7
2021-03,1.4533831e7
2021-04,1.3244557e7
2021-05,1.3653561e7
2021-06,1.3103386e7
2021-07,1.5758985e7
2021-08,1.6136379e7
2021-09,1.6202671e7
2021-10,1.5899719e7
2021-11,1.6478363e7
2021-12,1.5864714e7
2022-01,1.6206644e7
2022-02,1.4567857e7
2022-03,1.6714471e7
2022-04,1.3451268e7
2022-05,1.4179821e7
2022-06,1.453884e7
2022-07,1.5449547e7
2022-08,1.7213938e7
2022-09,1.4844775e7
2022-10,1.4716544e7
2022-11,1.4772042e7
2022-12,1.6374476e7
2023-01,1.6310843e7
2023-02,1.4535083e7
2023-03,1.3977703e7
2023-04,1.3233713e7
2023-05,1.1670197e7
2023-06,1.2967188e7
2023-07,1.4059639e7
2023-08,1.4761555e7
2023-09,1.355271e7
2023-10,1.38547e7
2023-11,1.3647491e7
2023-12,1.4413906e7
2024-01,1.5233268e7
2024-02,1.3210201e7
2024-03,1.312911e7
2024-04,1.3196259e7
2024-05,1.1373143837336e7
2024-06,1.1158330248994e7
2024-07,1.4833189e7
2024-08,1.4604552e7
2024-09,1.590711e7
2024-10,1.4052001e7
2024-11,1.3245596e7
2024-12,1.5821967541330999e7
2025-01,1.5369439e7
2025-02,1.3397777e7
2025-03,1.2290466e7
2025-04,1.2025644e7
2025-05,1.0323804663252002e7
2025-06,1.0676712e7
2025-07,1.572212705298e7
2025-08,1.6182076e7
2025-09,1.361582e7
2025-10,1.4526817e7
2025-11,1.2918775e7
2025-12,1.463879e7
