date,tonnes
2014-01,9.943788049624e6
2014-02,9.063873401084999e6
2014-03,8.482618541328e6
2014-04,9.412109057116e6
2014-05,8.790354251056999e6
2014-06,9.189237242746001e6
2014-07,8.666302537114e6
2014-08,8.868202165475e6
2014-09,8.147723069758001e6
2014-10,8.648803017129e6
2014-11,7.109624126060001e6
2014-12,8.227367909745e6
2015-01,1.0945194922e7
2015-02,1.1391415959e7
2015-03,1.1265825325e7
2015-04,1.2156950866e7
2015-05,1.0700881333e7
2015-06,1.1774656605e7
2015-07,1.1915267728e7
2015-08,1.0941385728e7
2015-09,1.070643767e7
2015-10,1.1145772847e7
2015-11,9.781144055e6
2015-12,1.2419521666e7
2016-01,1.18806960007e7
2016-02,9.337644601799998e6
2016-03,1.16294785467e7
2016-04,1.091135028722e7
2016-05,9.9557135538e6
2016-06,1.009137954295e7
2016-07,1.11827662619e7
2016-08,1.1109647707820999e7
2016-09,1.253020653453e7
2016-10,1.04851984849e7
2016-11,1.1418999761965001e7
2016-12,1.3987087615115e7
2017-01,1.338977734072e7
2017-02,1.230528523987e7
2017-03,1.20870684871e7
2017-04,1.160953197512e7
2017-05,1.117992100315e7
2017-06,1.262488357305e7
2017-07,1.2441226562649999e7
2017-08,1.3124161761200001e7
2017-10,1.08964800433e7
2017-11,1.1639866130350001e7
2017-12,1.235326466069e7
2018-01,1.3004104868889999e7
2018-03,1.2616393159610001e7
2018-04,1.3844537811479999e7
2018-05,1.1377158611077e7
2018-06,1.154770952668e7
2018-07,1.2199433196600001e7
2018-08,1.3241610879669001e7
2018-10,1.169776674239e7
2018-11,1.33173832665e7
2018-12,1.1748165480950002e7
2019-01,1.36032661144e7
2019-02,1.171861425441e7
2019-03,8.908403525725e6
2019-05,1.131585115755e7
2019-06,1.018500383317e7
2019-07,1.27977760903e7
2019-08,1.3373271886049999e7
2019-09,1.1372299939059999e7
2019-10,1.3213217358376e7
2019-11,1.169519605572e7
2019-12,1.239357816434e7
2020-01,1.102410942656e7
2020-02,8.886527218012e6
2020-03,9.125168864875e6
2020-04,1.0635418815724e7
2020-05,9.710442482120002e6
2020-06,9.859007252124e6
2020-08,9.958285759249e6
2020-09,1.1770060387812e7
2020-10,9.957427821658e6
2020-11,1.0117604246107e7
2020-12,1.1034686672325e7
2021-03,1.1477481906299999e7
2021-04,9.34229116263e6
2021-05,8.860265901965e6
2021-06,1.003930932341e7
2021-07,1.3897032636854999e7
2021-08,1.103496452736e7
2021-09,1.2766412429736e7
2021-10,9.318829054631e6
2021-11,1.1042721010625e7
2021-12,1.0479635404929e7
2022-01,1.12172427023e7
2022-02,9.901846801059e6
2022-03,9.88640076468e6
2022-04,8.471332073821e6
2022-05,1.0444351230719998e7
2022-06,1.1113430723336e7
2022-07,1.1818976773489e7
2022-08,1.223268330692e7
2022-09,1.0581752234335e7
2022-10,8.158290552336001e6
2022-11,1.0514125622855e7
2022-12,1.0811079200261e7
2023-01,1.065649910058e7
2023-02,9.700225092135001e6
2023-03,1.1079005087044e7
2023-04,8.38633354738e6
2023-05,9.2746185612e6
2023-06,9.426275732935e6
2023-07,1.0691536765225e7
2023-08,1.175749676192e7
2023-09,9.755391675635999e6
2023-10,9.09305650634e6
2023-11,8.917687268085e6
2023-12,1.072438336316e7
2024-01,1.1520403839675e7
2024-02,1.0256295772215e7
2024-03,8.2341456795500005e6
2024-04,8.935879920847999e6
2024-05,8.9235215835e6
2024-06,8.460597652645001e6
2024-07,1.0117892376415001e7
2024-08,1.1113453596208e7
2024-09,9.47177897118e6
2024-10,9.049983201105e6
2024-11,8.891186825805001e6
2024-12,1.060831821926e7
2025-01,9.704979972963e6
2025-02,8.473122639179e6
2025-03,6.98733308684e6
2025-04,7.135298363015001e6
2025-05,6.912932649141e6
2025-06,7.67383399348e6
2025-08,1.1758072511353001e7
2025-09,1.1224101378715001e7
2025-10,1.0029646648629999e7
2025-11,9.640867845669001e6
2025-12,9.514022716139e6
