outcome,instrument,drop_2022,month,z_value
q_aus,z,false,2013-01,1.0
q_aus,z,false,2017-03,1.0
q_aus,z,false,2017-04,1.0
q_aus,z,false,2019-02,1.0
q_aus,z,false,2020-05,1.0
q_aus,z,false,2021-01,1.0
q_aus,z,false,2022-02,1.0
q_aus,z,false,2022-03,1.0
q_aus,z,false,2024-01,1.0
q_aus,z,false,2024-06,1.0
q_aus,z,true,2013-01,1.0
q_aus,z,true,2017-03,1.0
q_aus,z,true,2017-04,1.0
q_aus,z,true,2019-02,1.0
q_aus,z,true,2020-05,1.0
q_aus,z,true,2021-01,1.0
q_aus,z,true,2024-01,1.0
q_aus,z,true,2024-06,1.0
q_aus,z_w,false,2013-01,0.5
q_aus,z_w,false,2017-03,1.0
q_aus,z_w,false,2017-04,1.0
q_aus,z_w,false,2019-02,0.5
q_aus,z_w,false,2020-05,0.5
q_aus,z_w,false,2021-01,0.5
q_aus,z_w,false,2022-02,0.5
q_aus,z_w,false,2022-03,0.5
q_aus,z_w,false,2024-01,0.5
q_aus,z_w,false,2024-06,0.5
q_aus,z_w,true,2013-01,0.5
q_aus,z_w,true,2017-03,1.0
q_aus,z_w,true,2017-04,1.0
q_aus,z_w,true,2019-02,0.5
q_aus,z_w,true,2020-05,0.5
q_aus,z_w,true,2021-01,0.5
q_aus,z_w,true,2024-01,0.5
q_aus,z_w,true,2024-06,0.5
q_aus,z_major,false,2017-03,1.0
q_aus,z_major,false,2017-04,1.0
q_aus,z_major,true,2017-03,1.0
q_aus,z_major,true,2017-04,1.0
price,z,false,2013-01,1.0
price,z,false,2017-03,1.0
price,z,false,2017-04,1.0
price,z,false,2019-02,1.0
price,z,false,2020-05,1.0
price,z,false,2021-01,1.0
price,z,false,2022-02,1.0
price,z,false,2022-03,1.0
price,z,false,2024-01,1.0
price,z,false,2024-06,1.0
price,z,true,2013-01,1.0
price,z,true,2017-03,1.0
price,z,true,2017-04,1.0
price,z,true,2019-02,1.0
price,z,true,2020-05,1.0
price,z,true,2021-01,1.0
price,z,true,2024-01,1.0
price,z,true,2024-06,1.0
price,z_w,false,2013-01,0.5
price,z_w,false,2017-03,1.0
price,z_w,false,2017-04,1.0
price,z_w,false,2019-02,0.5
price,z_w,false,2020-05,0.5
price,z_w,false,2021-01,0.5
price,z_w,false,2022-02,0.5
price,z_w,false,2022-03,0.5
price,z_w,false,2024-01,0.5
price,z_w,false,2024-06,0.5
price,z_w,true,2013-01,0.5
price,z_w,true,2017-03,1.0
price,z_w,true,2017-04,1.0
price,z_w,true,2019-02,0.5
price,z_w,true,2020-05,0.5
price,z_w,true,2021-01,0.5
price,z_w,true,2024-01,0.5
price,z_w,true,2024-06,0.5
price,z_major,false,2017-03,1.0
price,z_major,false,2017-04,1.0
price,z_major,true,2017-03,1.0
price,z_major,true,2017-04,1.0
