outcome,instrument,drop_2022,h,N_obs,N_z_gt0,N_z_eq1,N_z_eq05,df,n_blocks
q_aus,z,false,0,149,10,10,0,117.0,14
q_aus,z,false,1,149,9,9,0,117.0,14
q_aus,z,false,2,149,10,10,0,117.0,14
q_aus,z,false,3,148,10,10,0,116.0,14
q_aus,z,false,4,146,10,10,0,114.0,14
q_aus,z,false,5,145,9,9,0,113.0,14
q_aus,z,false,6,144,10,10,0,112.0,13
q_aus,z,false,7,143,10,10,0,111.0,13
q_aus,z,false,8,142,10,10,0,110.0,13
q_aus,z,false,9,141,10,10,0,109.0,13
q_aus,z,false,10,140,10,10,0,108.0,13
q_aus,z,false,11,139,10,10,0,107.0,13
q_aus,z,false,12,138,10,10,0,106.0,13
q_aus,z,false,13,137,10,10,0,105.0,13
q_aus,z,false,14,136,10,10,0,104.0,13
q_aus,z,false,15,135,10,10,0,103.0,13
q_aus,z,false,16,134,10,10,0,102.0,13
q_aus,z,false,17,133,10,10,0,101.0,13
q_aus,z,false,18,132,10,10,0,100.0,12
q_aus,z,true,0,149,8,8,0,117.0,14
q_aus,z,true,1,149,7,7,0,117.0,14
q_aus,z,true,2,149,8,8,0,117.0,14
q_aus,z,true,3,148,8,8,0,116.0,14
q_aus,z,true,4,146,8,8,0,114.0,14
q_aus,z,true,5,145,7,7,0,113.0,14
q_aus,z,true,6,144,8,8,0,112.0,13
q_aus,z,true,7,143,8,8,0,111.0,13
q_aus,z,true,8,142,8,8,0,110.0,13
q_aus,z,true,9,141,8,8,0,109.0,13
q_aus,z,true,10,140,8,8,0,108.0,13
q_aus,z,true,11,139,8,8,0,107.0,13
q_aus,z,true,12,138,8,8,0,106.0,13
q_aus,z,true,13,137,8,8,0,105.0,13
q_aus,z,true,14,136,8,8,0,104.0,13
q_aus,z,true,15,135,8,8,0,103.0,13
q_aus,z,true,16,134,8,8,0,102.0,13
q_aus,z,true,17,133,8,8,0,101.0,13
q_aus,z,true,18,132,8,8,0,100.0,12
q_aus,z_w,false,0,149,10,2,8,117.0,14
q_aus,z_w,false,1,149,9,2,7,117.0,14
q_aus,z_w,false,2,149,10,2,8,117.0,14
q_aus,z_w,false,3,148,10,2,8,116.0,14
q_aus,z_w,false,4,146,10,2,8,114.0,14
q_aus,z_w,false,5,145,9,2,7,113.0,14
q_aus,z_w,false,6,144,10,2,8,112.0,13
q_aus,z_w,false,7,143,10,2,8,111.0,13
q_aus,z_w,false,8,142,10,2,8,110.0,13
q_aus,z_w,false,9,141,10,2,8,109.0,13
q_aus,z_w,false,10,140,10,2,8,108.0,13
q_aus,z_w,false,11,139,10,2,8,107.0,13
q_aus,z_w,false,12,138,10,2,8,106.0,13
q_aus,z_w,false,13,137,10,2,8,105.0,13
q_aus,z_w,false,14,136,10,2,8,104.0,13
q_aus,z_w,false,15,135,10,2,8,103.0,13
q_aus,z_w,false,16,134,10,2,8,102.0,13
q_aus,z_w,false,17,133,10,2,8,101.0,13
q_aus,z_w,false,18,132,10,2,8,100.0,12
q_aus,z_w,true,0,149,8,2,6,117.0,14
q_aus,z_w,true,1,149,7,2,5,117.0,14
q_aus,z_w,true,2,149,8,2,6,117.0,14
