block,block_start,block_end,beta_price,delta_price,n_obs
5,2016-01,2016-12,-0.06075404657580091,-0.058110363539608065,131
6,2017-01,2017-12,-0.05459341766393893,-0.05194973462774608,131
13,2024-01,2024-12,0.022372293701519382,0.025015976737712227,131
10,2021-01,2021-12,0.017513620612453033,0.020157303648645878,131
12,2023-01,2023-12,0.016738410475536265,0.01938209351172911,131
11,2022-01,2022-12,0.011759890515616867,0.014403573551809714,131
2,2013-01,2013-12,-0.012980289232358265,-0.010336606196165419,131
1,2012-01,2012-12,-0.012356628209032163,-0.009712945172839316,137
8,2019-01,2019-12,-0.011515923905236397,-0.00887224086904355,141
3,2014-01,2014-12,-0.01138154061824747,-0.008737857582054623,131
9,2020-01,2020-12,0.0029434569574787457,0.005587139993671592,132
7,2018-01,2018-12,-0.007976857512437105,-0.005333174476244259,134
14,2025-01,2025-12,-0.0053382688495314835,-0.0026945858133386375,140
4,2015-01,2015-12,-0.0043504684821850294,-0.0017067854459921834,131
15,2026-01,2026-07,-0.002643683036192846,0.0,149
