event_month,event_name,severity,z_value,beta_q,delta_q
2017-04,Cyclone Debbie (cont.),major,1.0,-0.07004624248519617,0.05873070020558019
2017-03,Cyclone Debbie,major,1.0,-0.168452791452814,-0.03967584876203764
2021-01,Cyclone Kimi,minor,0.5,-0.1370323176235949,-0.008255374932818554
2022-03,East coast floods (cont.),minor,0.5,-0.12192489752848529,0.0068520451622910705
2020-05,Grosvenor mine incident,minor,0.5,-0.13508213802096275,-0.006305195330186392
2024-01,Cyclone Kirrily,minor,0.5,-0.12434360391501209,0.004433338775764267
2024-06,Grosvenor mine fire,minor,0.5,-0.13199897502138128,-0.003222032330604918
2022-02,East coast floods,minor,0.5,-0.1269828723839025,0.0017940703068738684
2013-01,Cyclone Oswald,minor,0.5,-0.12791199520538665,0.0008649474853897055
2019-02,North Queensland floods,minor,0.5,-0.128511524988371,0.0002654177024053461
2008-01,Queensland floods,major,0.0,-0.12877694269077636,0.0
2008-02,Queensland floods (cont.),major,0.0,-0.12877694269077636,0.0
2010-12,Queensland floods,major,0.0,-0.12877694269077636,0.0
2011-01,Queensland floods,major,0.0,-0.12877694269077636,0.0
2011-02,Cyclone Yasi,major,0.0,-0.12877694269077636,0.0
