year,mean_mt_month,n_months,sum_mt_year
2012,26.302989820833332,12,315.63587785
2013,29.636582979999996,12,355.63899575999994
2014,32.01986963833334,12,384.23843566000005
2015,32.17622686666666,12,386.11472239999995
2016,32.37154760083333,12,388.45857121
2017,31.01705448333333,12,372.20465379999996
2018,32.15162831,12,385.81953972
2019,32.75453407516189,10,327.54534075161894
2020,30.94295411333334,12,371.31544936000006
2021,30.482652328333334,12,365.79182794
2022,28.26540187166667,12,339.18482246
2023,29.445011071696996,12,353.34013286036395
2024,30.169339916058167,12,362.032078992698
2025,29.658875246666668,12,355.90650296
