h,beta_mt,se_ols,mbb_lo90,mbb_hi90
0,-0.8930018131957986,1.8436663270556428,-4.79611549266819,3.0862781533907646
1,4.4508960342145905,2.0276769127944267,-0.20481240291747166,6.8431474860698
2,0.593559900972533,2.215458590409999,-3.729989101989095,4.32796324661313
3,1.6518500838825585,2.231585420810703,-2.5657843928618567,5.666003747583562
4,0.7350912828502476,2.227638834119959,-3.4021686716616117,4.7519486612645485
5,0.7551346575143584,2.3185816750259014,-3.7105274274586995,5.444148405831386
6,0.487245589060876,2.17597846778246,-4.206839934943217,4.8924353419956175
7,-0.26472357462982216,2.1263240640963965,-4.787167339022773,4.764469505577113
8,-0.8180745101341091,2.0060171244270153,-5.180001657673099,4.934717151751939
9,-1.1902945163499348,1.9557111315719833,-5.6264704923920705,4.812180145844467
10,-1.5605897126153883,2.0629645754616868,-5.3626084719463645,4.780836221692707
11,-0.43178492548792774,2.0839269757449004,-5.425365794430285,4.96295495630486
12,-3.0019615352435842,2.121800311951007,-4.930294107909447,4.984692184680601
13,-0.10525488828364835,2.2745031847803827,-4.953352792395095,4.9740757001871705
14,-1.0169976835533918,2.3379031461779167,-4.895416178764852,5.0589271164421925
15,0.6990047415803002,2.223648441103332,-5.509691298943081,5.429882650300876
16,-1.3769944476593243,2.1701021138212306,-5.495234428990232,4.6578129444932905
17,-2.2384557342091855,2.13339487328004,-5.590103288018346,5.3257355144803435
18,-1.350888905572435,2.1289252041582962,-5.444341977967215,4.883668322093942
