exporter,h,beta_log,mt_from_log,beta_level_mt
Australia,0,-0.06791462657864498,-2.0844028667215055,-1.90974557661036
Australia,1,-0.03727733792798092,-1.1440980235804163,-1.0274052064774282
Australia,2,-0.025303721772913366,-0.7766095885266711,-0.7984494925473997
Australia,3,0.01866481410564634,0.5728514458307642,0.4926920602911
Australia,4,-0.011381236081945014,-0.34930739240050374,-0.25556932324640996
Australia,5,-0.04078687632630314,-1.2518110784385026,-1.1784277927119744
Australia,6,-0.037709853970607006,-1.1573725967404245,-1.1702182325459658
Australia,7,-0.04812706321063633,-1.4770925436359656,-1.3604039469694946
Australia,8,-0.03868050995800457,-1.1871635007718113,-1.087834207043536
Australia,9,-0.0025541100618613304,-0.0783895105232016,-0.21183123067819265
Australia,10,-0.020691004187680887,-0.6350382917029831,-0.5482929460141224
Australia,11,-0.04096523750666604,-1.2572852535078411,-1.2094602089799378
Australia,12,-0.013800435077977086,-0.42355627775158106,-0.45289138989672634
Australia,13,-0.008626014999975314,-0.26474547973123796,-0.268563438553832
Australia,14,0.010210765414154827,0.31338387285453234,0.3081644412623305
Australia,15,0.00562823627056333,0.17273910507868429,0.24373283616621347
Australia,16,-0.00025341159647736944,-0.0077775861367099484,-0.017690289795882892
Australia,17,-0.017657671223897824,-0.5419407036877032,-0.6060636161469745
Australia,18,-0.021016018241155628,-0.6450134658137179,-0.5343275683202723
Indonesia,0,0.06989971124449806,2.0211263023285753,1.0438218179606553
Indonesia,1,0.08793722738406613,2.5426749274844016,2.1388686137376633
Indonesia,2,0.0336565064691996,0.9731664016672953,0.6869044104088166
Indonesia,3,0.05337758223649022,1.5433945790637094,1.5948286365084536
Indonesia,4,0.014624925147986636,0.42287472093826495,0.5399933856815601
Indonesia,5,0.02823263420512244,0.8163369856622378,0.9739234494569595
Indonesia,6,0.044541878503883504,1.2879132201910024,1.5430395481529908
Indonesia,7,0.043275076178482114,1.251284063158236,1.1711464049648674
Indonesia,8,0.0345125086555068,0.9979174128344899,0.6745950685778214
Indonesia,9,-0.005761126954855317,-0.16658102032472605,-0.7478635769385533
Indonesia,10,-0.006925369000691901,-0.20024468186527875,-0.8080341568581573
Indonesia,11,0.029633744459248358,0.8568496106310436,0.4440622612443187
Indonesia,12,-0.11336001825521275,-3.277766251803966,-2.1626677139688755
Indonesia,13,-0.0032764349425003386,-0.09473699851195143,0.005273015523487411
