spec,h,beta_q_aus,beta_price
baseline_zw_drop2022_real,0,-0.11633394529086633,-0.004925317490193882
baseline_zw_drop2022_real,3,0.011591702560867381,-0.07092658492293873
z_binary_drop2022_real,0,-0.06726496075764808,-0.012692807273616194
z_binary_drop2022_real,3,0.01555582209087512,-0.05375952960712178
z_major_drop2022_real,0,-0.1422401216358858,0.03398206188202568
z_major_drop2022_real,3,-0.019024497450097055,-0.03677352511801031
zw_keep2022_real,0,-0.11566162263737205,0.0649094052243883
zw_keep2022_real,3,0.020176262635239587,0.11903777538700518
zw_drop2022_drop_mines_real,0,-0.11733367838345052,0.01872908271676529
zw_drop2022_drop_mines_real,3,0.015442438262210869,-0.040710112719461185
zw_drop2022_nominal_price,0,-0.11633394529086633,-0.00869356469125651
zw_drop2022_nominal_price,3,0.011591702560867381,-0.07809958003869374
