date,usd
1960-01,0.4
1960-02,0.4
1960-03,0.4
1960-04,0.4
1960-05,0.4
1960-06,0.4
1960-07,0.4
1960-08,0.4
1960-09,0.4
1960-10,0.4
1960-11,0.4
1960-12,0.4
1961-01,0.4
1961-02,0.4
1961-03,0.4
1961-04,0.4
1961-05,0.4
1961-06,0.4
1961-07,0.4
1961-08,0.4
1961-09,0.4
1961-10,0.4
1961-11,0.4
1961-12,0.4
1962-01,0.4
1962-02,0.4
1962-03,0.4
1962-04,0.4
1962-05,0.4
1962-06,0.4
1962-07,0.4
1962-08,0.4
1962-09,0.4
1962-10,0.4
1962-11,0.4
1962-12,0.4
1963-01,0.39
1963-02,0.39
1963-03,0.39
1963-04,0.39
1963-05,0.39
1963-06,0.39
1963-07,0.39
1963-08,0.39
1963-09,0.39
1963-10,0.39
1963-11,0.39
1963-12,0.39
1964-01,0.38
1964-02,0.38
1964-03,0.38
1964-04,0.38
1964-05,0.38
1964-06,0.38
1964-07,0.38
1964-08,0.38
1964-09,0.38
1964-10,0.38
1964-11,0.38
1964-12,0.38
1965-01,0.41
1965-02,0.41
1965-03,0.41
1965-04,0.41
1965-05,0.41
1965-06,0.41
1965-07,0.41
1965-08,0.41
1965-09,0.41
1965-10,0.41
1965-11,0.41
1965-12,0.41
1966-01,0.42
1966-02,0.42
1966-03,0.42
1966-04,0.42
1966-05,0.42
1966-06,0.42
1966-07,0.42
1966-08,0.42
1966-09,0.42
1966-10,0.42
1966-11,0.42
1966-12,0.42
1967-01,0.46
1967-02,0.46
1967-03,0.46
1967-04,0.46
1967-05,0.46
1967-06,0.46
1967-07,0.46
1967-08,0.46
1967-09,0.46
1967-10,0.46
1967-11,0.46
1967-12,0.46
1968-01,0.45
1968-02,0.45
1968-03,0.45
1968-04,0.45
1968-05,0.45
1968-06,0.45
1968-07,0.45
1968-08,0.45
1968-09,0.45
1968-10,0.45
1968-11,0.45
1968-12,0.45
1969-01,0.45
1969-02,0.45
1969-03,0.45
1969-04,0.45
1969-05,0.45
1969-06,0.45
1969-07,0.45
1969-08,0.45
1969-09,0.45
1969-10,0.45
1969-11,0.45
1969-12,0.45
1970-01,0.45
1970-02,0.45
1970-03,0.45
1970-04,0.45
1970-05,0.45
1970-06,0.45
1970-07,0.45
1970-08,0.45
1970-09,0.45
1970-10,0.45
1970-11,0.45
1970-12,0.45
1971-01,0.5
1971-02,0.5
1971-03,0.5
1971-04,0.5
1971-05,0.5
1971-06,0.5
1971-07,0.5
1971-08,0.5
1971-09,0.5
1971-10,0.5
1971-11,0.5
1971-12,0.5
1972-01,0.54
1972-02,0.54
1972-03,0.54
1972-04,0.54
1972-05,0.54
1972-06,0.54
1972-07,0.54
1972-08,0.54
1972-09,0.54
1972-10,0.54
1972-11,0.54
1972-12,0.54
1973-01,0.69
1973-02,0.69
1973-03,0.69
1973-04,0.69
1973-05,0.69
1973-06,0.69
1973-07,0.69
1973-08,0.69
1973-09,0.69
1973-10,0.69
1973-11,0.69
1973-12,0.69
1974-01,1.73
1974-02,1.73
1974-03,1.73
1974-04,1.73
1974-05,1.73
1974-06,1.73
1974-07,1.73
1974-08,1.73
1974-09,1.73
