date,usd
1977-01,2.77
1977-02,2.77
1977-03,2.77
1977-04,2.77
1977-05,2.77
1977-06,2.77
1977-07,2.77
1977-08,2.77
1977-09,2.77
1977-10,2.77
1977-11,2.77
1977-12,2.77
1978-01,3.04
1978-02,3.04
1978-03,3.04
1978-04,3.04
1978-05,3.04
1978-06,3.04
1978-07,3.04
1978-08,3.04
1978-09,3.04
1978-10,3.04
1978-11,3.04
1978-12,3.04
1979-01,3.69
1979-02,3.69
1979-03,3.69
1979-04,3.69
1979-05,3.69
1979-06,3.69
1979-07,3.69
1979-08,3.69
1979-09,3.69
1979-10,3.69
1979-11,3.69
1979-12,3.69
1980-01,5.7
1980-02,5.7
1980-03,5.7
1980-04,5.7
1980-05,5.7
1980-06,5.7
1980-07,5.7
1980-08,5.7
1980-09,5.7
1980-10,5.7
1980-11,5.7
1980-12,5.7
1981-01,6.03
1981-02,6.03
1981-03,6.03
1981-04,6.03
1981-05,6.03
1981-06,6.03
1981-07,6.03
1981-08,6.03
1981-09,6.03
1981-10,6.03
1981-11,6.03
1981-12,6.03
1982-01,6.05
1982-02,6.05
1982-03,6.05
1982-04,6.05
1982-05,6.05
1982-06,6.05
1982-07,6.05
1982-08,6.05
1982-09,6.05
1982-10,6.05
1982-11,6.05
1982-12,6.05
1983-01,5.55
1983-02,5.55
1983-03,5.55
1983-04,5.55
1983-05,5.55
1983-06,5.55
1983-07,5.55
1983-08,5.55
1983-09,5.55
1983-10,5.55
1983-11,5.55
1983-12,5.55
1984-01,5.24
1984-02,5.24
1984-03,5.24
1984-04,5.24
1984-05,5.24
1984-06,5.24
1984-07,5.24
1984-08,5.24
1984-09,5.24
1984-10,5.24
1984-11,5.24
1984-12,5.24
1985-01,5.23
1985-02,5.23
1985-03,5.23
1985-04,5.23
1985-05,5.23
1985-06,5.23
1985-07,5.23
1985-08,5.23
1985-09,5.23
1985-10,5.23
1985-11,5.23
1985-12,5.23
1986-01,4.1
1986-02,4.1
1986-03,4.1
1986-04,4.1
1986-05,4.1
1986-06,4.1
1986-07,4.1
1986-08,4.1
1986-09,4.1
1986-10,4.1
1986-11,4.1
1986-12,4.1
1987-01,3.35
1987-02,3.35
1987-03,3.35
1987-04,3.35
1987-05,3.35
1987-06,3.35
1987-07,3.35
1987-08,3.35
1987-09,3.35
1987-10,3.35
1987-11,3.35
1987-12,3.35
1988-01,3.34
1988-02,3.34
1988-03,3.34
1988-04,3.34
1988-05,3.34
1988-06,3.34
1988-07,3.34
1988-08,3.34
1988-09,3.34
1988-10,3.34
1988-11,3.34
1988-12,3.34
1989-01,3.28
1989-02,3.28
1989-03,3.28
1989-04,3.28
1989-05,3.28
1989-06,3.28
1989-07,3.28
1989-08,3.28
1989-09,3.28
1989-10,3.28
1989-11,3.28
1989-12,3.28
1990-01,3.64
1990-02,3.64
1990-03,3.64
1990-04,3.64
1990-05,3.64
1990-06,3.64
1990-07,3.64
1990-08,3.64
1990-09,3.64
1990-10,3.64
1990-11,3.64
1990-12,3.64
1991-01,3.99
1991-02,3.99
1991-03,3.99
1991-04,3.99
