series,source,n_obs,n_gaps,missing_months
q_aus / aus_exports,panel,166,9,2019-03;2019-07;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
p_real,panel,173,2,2025-10;2026-07
rea,panel,174,1,2026-07
aus_exports_raw,aus_exports.csv,166,9,2019-03;2019-07;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
Indonesia,exp_idn.csv,154,21,2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2013-09;2014-11;2014-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
USA,exp_usa.csv,118,57,2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2020-01;2020-02;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
Colombia,exp_col.csv,133,42,2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
Canada,exp_can.csv,162,13,2014-07;2014-08;2014-11;2016-01;2019-03;2019-10;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
Japan_imports_world,imports_jpn.csv,161,14,2013-07;2013-12;2014-01;2014-03;2014-05;2016-03;2016-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
Japan_World,bilateral_jpn.csv,161,14,2013-07;2013-12;2014-01;2014-03;2014-05;2016-03;2016-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
Japan_Australia,bilateral_jpn.csv,168,7,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06;2026-07
