h,world_inc_Aus,winc_lo,winc_hi,world_ex_Aus,wexc_lo,wexc_hi,Australia,aus_lo,aus_hi,leakage,leak_lo,leak_hi
0,-3.6744033272178886,-9.340782585251112,3.3190508290915317,-0.5257065029459504,-6.138131738374135,5.7783556041880875,-3.283161089426422,-4.369304419646355,-0.9959207230256761,-0.16012205573433894,-2.6419099427048294,2.6151524866065
1,1.4543654165754667,-7.009560723733898,11.503537265745607,3.674333701775204,-5.234127549054364,12.031871937438765,-2.17058458818133,-3.6001600705757673,2.0574695532772433,1.6927853085208817,-2.338389680170062,14.062613266575713
2,-1.1117358606094028,-12.940274721435543,8.883089750329953,0.6817689854011163,-9.716352509756614,10.391029732481735,-1.6092563346811903,-5.036397263124289,1.065240978382318,0.423654684905237,-7.025276542727517,16.107312222900184
3,1.5533329853320348,-10.574860140330875,13.737952635377237,0.7099843006811483,-10.028731366868787,13.013002540794577,0.32627632369525805,-2.4118567269494475,2.8130047812990497,NaN,-19.93929734383475,52.65814468691814
4,3.4524417810900467,-12.837820958557359,13.243790081845663,2.2547323095264002,-12.149147642206202,12.275241189432265,0.663049032723996,-2.8151013667659366,3.326360927176321,NaN,-23.397692587553642,34.34129398362989
5,7.9905426992400574,-15.483230252619846,15.977254795317481,7.6045578730847545,-13.669091424845615,15.193768018739814,-0.18876145307072845,-3.8479863072179503,2.5633766251799877,40.28660380271255,-15.357728568655615,44.65288918951404
6,6.990485580866064,-13.679586090184635,17.175755159647967,7.879216741407893,-12.440172238655602,16.932577642627372,-1.2877552811950472,-3.695607789538359,2.6178454057604448,6.118566824354947,-12.801039687260882,49.70494371244533
7,3.758946491069811,-15.907137230818527,15.080944544442616,4.982953262284829,-14.66255179409954,14.990560073741452,-1.8828213108180283,-4.189521591852577,2.519869082444423,2.646535406017838,-14.156548455911942,28.704732016232633
8,-0.11491661367820707,-19.115903456511855,15.422810469102327,1.2354454525150622,-18.069404361160075,14.703570091384883,-1.4095686972973556,-3.7609025031959575,3.17510341775737,0.876470550803129,-24.804736769704512,35.44234161676488
9,4.885914492901365,-16.63257401416706,15.857473572259478,4.916109337703813,-15.796498677234258,14.943133604278083,0.12663614429135447,-3.2281948261458355,3.3853822135681013,NaN,-27.56102768912094,35.05067741281317
10,1.6868234965689537,-17.6610210045667,14.75615361841016,1.1001665908407166,-17.28661262862746,14.230245025900228,0.09898431740088755,-3.733335242241157,3.433764316762309,NaN,-24.744439793106313,26.241539673332042
11,1.2314419918695647,-17.567857479660795,15.625714259089502,1.7315071696739344,-17.193695665977334,14.850873624218487,-0.19058425539843055,-3.697736588036471,3.4572689546972586,9.085258202751795,-24.641861114689103,30.29804043926291
12,-1.734960925138209,-18.395981701097757,15.120305271931967,-1.7574271784212445,-17.889121238000723,14.213828628685457,-0.1695431837660776,-3.7434003571187477,3.5539084189983132,-10.365661062765017,-28.33313764570584,23.99614408361973
13,1.7124567060404223,-18.1402591767185,15.436229765188203,1.071375124604697,-17.737257171789206,14.56479825498296,-0.3249745857530211,-3.754425432041058,3.4858436005952913,3.2967966467966705,-26.407674873144828,24.96957884340533
14,-0.47901116980718467,-17.75177482456659,15.403849395374312,-0.8183628318302814,-17.262639074656047,14.555673847815722,-0.01866785502592529,-3.676040387751226,3.6387813514564127,-43.83807516684517,-25.833837776366835,26.37422713663397
15,5.790202827762989,-17.89461268737244,15.149310917373882,4.282066381909868,-17.3596619291522,14.2415489296321,1.061010539409463,-3.6464375026451195,3.6077968627903143,NaN,-27.003738050300676,25.09211116438258
16,3.5868622565403507,-18.12663458817049,15.395029350014873,3.4717138361085667,-17.370121166634632,14.539726914612691,0.19823386569128032,-3.727637939850441,3.5669364348160606,NaN,-24.5685882123232,24.114898443370066
17,2.4692747192609255,-18.465478067192613,15.172975055455577,2.909160055435185,-17.65574555762031,14.380222220759116,-0.8022926024947744,-3.819760662319996,3.5127146901898425,3.626058680323097,-25.91126028660683,22.03243998806402
18,5.050561660379555,-18.233351864280547,15.171358193043373,4.662601178847884,-17.42494703631154,14.345096716220269,0.2044512636981465,-3.808207444764391,3.591947912291354,NaN,-25.524331711970916,22.79550769108344
