h,beta_mt,lo90,hi90
0,-3.283161089426422,-4.369304419646355,-0.9959207230256761
1,-2.17058458818133,-3.6001600705757673,2.0574695532772433
2,-1.6092563346811903,-5.036397263124289,1.065240978382318
3,0.32627632369525805,-2.4118567269494475,2.8130047812990497
4,0.663049032723996,-2.8151013667659366,3.326360927176321
5,-0.18876145307072845,-3.8479863072179503,2.5633766251799877
6,-1.2877552811950472,-3.695607789538359,2.6178454057604448
7,-1.8828213108180283,-4.189521591852577,2.519869082444423
8,-1.4095686972973556,-3.7609025031959575,3.17510341775737
9,0.12663614429135447,-3.2281948261458355,3.3853822135681013
10,0.09898431740088755,-3.733335242241157,3.433764316762309
11,-0.19058425539843055,-3.697736588036471,3.4572689546972586
12,-0.1695431837660776,-3.7434003571187477,3.5539084189983132
13,-0.3249745857530211,-3.754425432041058,3.4858436005952913
14,-0.01866785502592529,-3.676040387751226,3.6387813514564127
15,1.061010539409463,-3.6464375026451195,3.6077968627903143
16,0.19823386569128032,-3.727637939850441,3.5669364348160606
17,-0.8022926024947744,-3.819760662319996,3.5127146901898425
18,0.2044512636981465,-3.808207444764391,3.591947912291354
