test,h,beta,rand_p,n_finite,n_events,pool
R1_price_keep2022,0,0.0649094052243883,0.2345,10000,10,80
R2_price_drop2022,0,-0.004925317490193882,0.9303,10000,8,82
R2_price_drop2022,3,-0.07092658492293873,0.6274,10000,8,82
R2_price_drop2022,6,-0.01641201112737838,0.9426,10000,8,82
R3_aus_exports_drop2022,0,-0.11633394529086633,0.0031003100310031005,9999,8,82
R3_aus_exports_drop2022,3,0.011591702560867381,0.8084425327598279,9997,8,82
R3_aus_exports_drop2022,6,-0.04029363204589356,0.3129625925185037,9998,8,82
R3_aus_exports_drop2022,12,0.00034374404827076433,0.9936905358037056,9985,8,82
R4_world_ex_Aus_mt,0,-0.5257065029459504,0.9014901490149015,9999,8,82
R4_world_ex_Aus_mt,6,7.879216741407893,0.15903180636127226,9998,8,82
R4_world_ex_Aus_mt,12,-1.7574271784212445,0.8213319979969955,9985,8,82
