group,country,series,h,beta,lo90,hi90,n_obs_hint
HIGH,Japan,total_log,0,-0.07125606981919023,-0.19994887676019224,0.015252769974232097,161
HIGH,Japan,total_log,1,0.03729546150973271,-0.1204064343314363,0.12623123526089536,161
HIGH,Japan,total_log,2,-0.015396247409849271,-0.1739541623314463,0.1503758437374937,161
HIGH,Japan,total_log,3,0.03199982878561339,-0.18228170444603317,0.17859210901402295,161
HIGH,Japan,total_log,4,0.03904908602377644,-0.16732991491772226,0.16166975726142568,161
HIGH,Japan,total_log,5,0.056060483104983884,-0.20234788315658458,0.1782477355607909,161
HIGH,Japan,total_log,6,0.050408716913123916,-0.15936825106313468,0.13276710842733716,161
HIGH,Japan,total_log,7,0.05799887299293516,-0.1558465717198242,0.1490213354053979,161
HIGH,Japan,total_log,8,0.10331125043205075,-0.15234895544577612,0.16936378460233642,161
HIGH,Japan,total_log,9,0.019778186987824232,-0.16236002521534892,0.16010492847249036,161
HIGH,Japan,total_log,10,0.057537018140990874,-0.1831658003970727,0.15499832875329253,161
HIGH,Japan,total_log,11,-0.0190681913192552,-0.1891093758218274,0.15965001196717082,161
HIGH,Japan,total_log,12,-0.021288699851990386,-0.17953714524196474,0.15634512539095688,161
HIGH,Japan,from_aus_log,0,-0.05929367250433296,-0.219375473029846,-0.0006056579678585838,168
HIGH,Japan,from_aus_log,1,-0.04468062488591571,-0.13071146991383187,0.06544624991656758,168
HIGH,Japan,from_aus_log,2,0.04876457325537523,-0.1511483787134037,0.14109486500151217,168
HIGH,Japan,from_aus_log,3,0.028030304889772747,-0.17337981720358964,0.13210813591343135,168
HIGH,Japan,from_aus_log,4,-0.039135875493833266,-0.16152927796067607,0.09909563095930418,168
HIGH,Japan,from_aus_log,5,-0.035019382607312535,-0.1507974184148072,0.12264528473637556,168
HIGH,Japan,from_aus_log,6,-0.03189804987846342,-0.13577012090964927,0.12747510153026997,168
HIGH,Japan,from_aus_log,7,-0.0337153863405457,-0.14067231856470996,0.11896163431751058,168
HIGH,Japan,from_aus_log,8,0.045784657071830895,-0.13591876660433602,0.1385440707368806,168
HIGH,Japan,from_aus_log,9,-0.004530688809975685,-0.14226963311389926,0.12809745400086797,168
HIGH,Japan,from_aus_log,10,0.012475971602121065,-0.14623790186892072,0.13172261689814146,168
HIGH,Japan,from_aus_log,11,0.004704187268322408,-0.1745623992199249,0.1357571028235583,168
HIGH,Japan,from_aus_log,12,-0.005472787814378045,-0.1639373766053695,0.13665946765325,168
