instrument,block,F,p,q,N,df
z,joint_abcd,1.7893272895621046,0.05622074964130963,12,154,130
z,a_lag_z,1.2328421699130223,0.3004929094909349,3,154,130
z,b_dlog_q,0.6406607284522302,0.5901884630181441,3,154,130
z,c_dlog_p,4.40356891858976,0.00551014623448387,3,154,130
z,d_rea,0.6551481407065636,0.5811266952995504,3,154,130
z_w,joint_abcd,2.4840465007818855,0.005832071926074267,12,154,130
z_w,a_lag_z,4.7122041550095775,0.0037220617100363063,3,154,130
z_w,b_dlog_q,1.0120762183140701,0.38965599668859374,3,154,130
z_w,c_dlog_p,3.562920088767698,0.01609823135060462,3,154,130
z_w,d_rea,0.4055164237617854,0.7492817847935025,3,154,130
