instrument,variant,block,F,p,q,N,df,n_events
z,full,joint_abcd,1.7893272895621046,0.05622074964130963,12,154,130,10
z,full,a_lag_z,1.2328421699130223,0.3004929094909349,3,154,130,10
z,full,b_dlog_q,0.6406607284522302,0.5901884630181441,3,154,130,10
z,full,c_dlog_p,4.40356891858976,0.00551014623448387,3,154,130,10
z,full,d_rea,0.6551481407065636,0.5811266952995504,3,154,130,10
z,drop_mines,joint_abcd,2.4951237535713466,0.0056163575501453344,12,154,130,8
z,drop_mines,a_lag_z,1.7011884575516092,0.1699709821189066,3,154,130,8
z,drop_mines,b_dlog_q,0.8867624255685709,0.4499122667902964,3,154,130,8
z,drop_mines,c_dlog_p,5.965988708058473,0.0007652301163284525,3,154,130,8
z,drop_mines,d_rea,0.5144098376276817,0.6730655975247152,3,154,130,8
z_w,full,joint_abcd,2.4840465007818855,0.005832071926074267,12,154,130,10
z_w,full,a_lag_z,4.7122041550095775,0.0037220617100363063,3,154,130,10
z_w,full,b_dlog_q,1.0120762183140701,0.38965599668859374,3,154,130,10
z_w,full,c_dlog_p,3.562920088767698,0.01609823135060462,3,154,130,10
z_w,full,d_rea,0.4055164237617854,0.7492817847935025,3,154,130,10
z_w,drop_mines,joint_abcd,3.483824133155177,0.00017862177048899586,12,154,130,8
z_w,drop_mines,a_lag_z,7.289427156299326,0.0001478858987186138,3,154,130,8
z_w,drop_mines,b_dlog_q,1.5647958183318913,0.20104774331406527,3,154,130,8
z_w,drop_mines,c_dlog_p,4.23765638539205,0.006806274736359752,3,154,130,8
z_w,drop_mines,d_rea,0.34919826117944847,0.7897861150995895,3,154,130,8
