h,aus,aus_lo,aus_hi,wexc,wexc_lo,wexc_hi
0,-3.226348741016594,-4.264698004172745,-1.2507628449626877,1.4857989927105422,-4.3305393186063235,8.98905784360814
1,-2.366683890835751,-3.8014397620966074,1.065025871213482,6.3593425415962,-2.5284613674062797,16.005222562295135
2,-1.53718918780147,-4.482724803659355,1.010773429773457,3.493562053718311,-6.292602187936267,12.963689220652157
3,0.5455656816481385,-2.090464784217628,2.6831476177545297,3.948708956452747,-6.57020832055945,15.160047915952003
4,-0.031773119467072515,-3.3578568260661643,2.7012445035800337,5.565045968110079,-8.794367029958952,14.932475815508937
5,-0.9748671024446863,-4.416690432403673,2.0679121453829317,9.156353387382953,-10.350156922156948,15.552101101830203
6,-1.5159976461679483,-3.644805774472852,2.151416995611921,9.1682342921901,-9.925023009827157,16.399560393713074
7,-2.2434594800367242,-4.136671097189512,2.176082859397064,6.373626175835002,-12.266206852402554,14.867104576145435
8,-1.7944003995986715,-3.7944376199768475,2.682534407417546,3.3139095968749714,-15.43024137246478,14.324053032933938
9,-0.24529399116045983,-3.168448835258271,2.9798342498934423,6.685190608103096,-13.948091994889847,14.244461504608635
10,-0.3464529283968593,-3.4886569918494006,3.1352005334507083,2.992795378332166,-15.818344507125977,13.111992506950926
11,-0.8076513484205465,-3.432825651040883,3.3263113691036197,4.3361744415277705,-15.004151067234748,13.501613786779231
12,-0.4836802394271985,-3.4357991156579186,3.3073207993997116,2.1096751900460027,-16.269399651552135,13.186282338305599
